DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.701               0.526             0.175        10.092
RESSURF           -1.102              -1.313             0.211        12.791
SOLIN            338.285             338.285             0.000         0.000
AAM            1.325e+26           1.508e+26        -1.831e+25      -999.000
CHI_200           -0.002              -0.005             0.003         2.776
CLDHGH            39.192              39.296            -0.104         9.722
CLDLOW            45.558              41.085             4.474         9.244
CLDMED            29.141              26.919             2.223         8.267
CLDTOT            66.377              63.080             3.297         9.178
EKE_850           30.442              26.580             3.862         6.646
EP             1.191e-02           1.480e-02        -2.888e-03         1.692
FLNS              60.567              56.554             4.013         8.113
FLNSC             89.440              81.705             7.735        12.736
FLNT             227.311             236.557            -9.245        16.314
FLNTC            252.406             261.436            -9.030        13.332
FSDS             191.610             189.044             2.567        18.395
FSDSC            252.257             245.921             6.336         6.939
FSNS             158.951             163.904            -4.952        15.542
FSNSC            213.311             215.410            -2.099        15.934
FSNSC_ICE         34.485              37.609            -3.124        11.138
FSNSC_LAND       192.976             193.127            -0.151        10.539
FSNT             228.012             237.083            -9.070        16.148
FSNTC            276.873             284.182            -7.309        16.558
ICEAREA           54.803              19.496            35.307         0.453
LHFLX             77.843              89.068           -11.224        21.006
LWCF              25.095              24.879             0.215        10.527
PRECT              2.638               3.036            -0.398         1.593
PRECT_LAND         2.026               2.185            -0.159         0.943
PRECT_OCEAN        3.201               3.533            -0.332         1.900
PREH2O            17.668              25.384            -7.716         9.443
PREH2O_OCEAN      22.611              29.671            -7.059        11.227
PSI_200           -0.017              -0.014            -0.003         0.941
PS               984.618             985.375            -0.757         2.420
PSL             1010.994            1011.505            -0.511         2.166
QFLX               2.650               3.050            -0.401         0.637
SHFLX             21.643              19.595             2.048         8.771
SNOWHLND          13.755              12.135             1.619         9.766
SST               19.096              23.626            -4.530         4.812
STRESS_MAG         0.065               0.064             0.001         0.023
SWCF             -48.861             -47.099            -1.761        16.146
T_850            275.193             281.053            -5.859         6.438
TGCLDLWP          36.519              38.346            -1.827        18.997
TGCLDIWP          19.232              17.486             1.746        10.373
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.102            -0.010         0.035
AODDUST            0.025               0.026            -0.001         0.014
TREFHT           280.781             287.572            -6.791         8.311
TS               281.660             288.410            -6.749         8.415
TS_LAND          275.560             281.425            -5.865         6.438
U_200             16.034              17.409            -1.375         5.335
VT_850             0.411               0.099             0.312         2.118
Z3_500            55.223              56.479            -1.255         1.322
