DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -102.828            -108.975             6.147         9.555
RESSURF          -77.762             -79.663             1.901        16.233
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.684               4.013            -1.329         1.781
CLDHGH            35.217              35.394            -0.177         6.639
CLDLOW            53.664              50.125             3.538         6.071
CLDMED            38.476              36.129             2.347         5.892
CLDTOT            69.490              66.943             2.548         4.969
EKE_850           45.559              42.232             3.328         7.371
EP             1.366e-01           1.326e-01         4.077e-03         0.725
FLNS              60.613              59.386             1.227         4.674
FLNSC             90.054              87.576             2.478         6.957
FLNT             205.674             214.852            -9.178        10.842
FLNTC            223.723             232.888            -9.165        11.223
FSDS              91.110              89.966             1.144         6.280
FSDSC            118.433             116.085             2.348         2.775
FSNS              70.908              72.435            -1.526         5.748
FSNSC             93.809              94.513            -0.704         6.873
FSNSC_ICE          2.302               1.156             1.146         0.771
FSNSC_LAND        75.032              77.578            -2.546         9.607
FSNT             102.846             105.877            -3.031         6.168
FSNTC            123.861             126.473            -2.612         7.141
ICEAREA           16.518              13.119             3.399         0.192
LHFLX             62.589              70.220            -7.631        14.277
LWCF              18.049              18.036             0.013         4.650
PRECT              1.933               2.214            -0.281         0.732
PRECT_LAND         0.879               1.123            -0.243         0.430
PRECT_OCEAN        3.466               3.720            -0.254         1.013
PREH2O             8.646              11.524            -2.878         3.347
PREH2O_OCEAN      14.562              17.916            -3.354         4.384
PSI_200           -7.665              -8.736             1.071         1.286
PS               975.330             975.841            -0.511         3.476
PSL             1017.457            1017.374             0.084         3.240
QFLX               2.069               2.346            -0.277         0.470
SHFLX             25.468              22.491             2.976        10.003
SNOWHLND           8.759               6.233             2.526        13.079
SST               14.050              17.183            -3.132         3.324
STRESS_MAG         0.064               0.076            -0.012         0.036
SWCF             -21.015             -20.597            -0.418         5.506
T_850            264.883             269.770            -4.887         5.252
TGCLDLWP          20.861              23.951            -3.090        12.466
TGCLDIWP          21.619              19.392             2.227        11.030
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.049               0.056            -0.007         0.013
AODDUST            0.010               0.011            -0.001         0.007
TREFHT           266.669             272.722            -6.053         6.911
TS               267.555             273.554            -5.999         6.994
TS_LAND          257.352             264.146            -6.794         7.299
U_200             22.471              25.887            -3.416         7.058
VT_850             0.480               0.438             0.042         3.148
Z3_500            53.721              54.739            -1.018         1.095
