DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -31.156             -23.260            -7.896        14.852
RESSURF          -10.016              -5.299            -4.718         8.905
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.908               0.704             1.204         1.716
CLDHGH            32.228              35.335            -3.107         5.390
CLDLOW            61.079              52.288             8.791        11.556
CLDMED            33.069              31.416             1.653         4.454
CLDTOT            72.797              67.286             5.511         8.701
EKE_850           45.056              41.423             3.633         5.459
EP             8.150e-02           1.191e-01        -3.757e-02         0.487
FLNS              56.951              54.230             2.722         6.246
FLNSC             92.725              88.011             4.713         9.678
FLNT             213.165             226.369           -13.204        13.928
FLNTC            231.434             247.161           -15.727        17.620
FSDS             176.777             165.994            10.783        27.375
FSDSC            233.479             223.714             9.765        10.696
FSNS             123.209             140.226           -17.017        22.031
FSNSC            171.504             192.356           -20.853        39.607
FSNSC_ICE         63.917              55.736             8.182        20.728
FSNSC_LAND       122.337             120.107             2.230         5.768
FSNT             182.009             203.109           -21.100        25.120
FSNTC            223.670             249.765           -26.095        41.555
ICEAREA           42.456               9.754            32.702         0.565
LHFLX             58.012              76.596           -18.584        21.345
LWCF              18.269              20.793            -2.523         6.757
PRECT              1.843               2.470            -0.627         0.793
PRECT_LAND         1.023               1.367            -0.344         0.491
PRECT_OCEAN        2.292               2.803            -0.511         0.605
PREH2O            10.407              16.884            -6.477         6.972
PREH2O_OCEAN      14.706              19.241            -4.535         8.131
PSI_200            6.770               7.946            -1.176         1.206
PS               982.658             982.724            -0.066         3.407
PSL             1007.302            1007.136             0.166         3.074
QFLX               1.925               2.589            -0.665         0.767
SHFLX             18.263              14.700             3.563         9.402
SNOWHLND          48.148              47.322             0.827         6.757
SST               14.681              20.559            -5.878         5.965
STRESS_MAG         0.083               0.086            -0.003         0.020
SWCF             -41.662             -46.657             4.995        23.176
T_850            266.688             274.908            -8.220         8.558
TGCLDLWP          31.968              38.278            -6.310        21.982
TGCLDIWP          16.518              16.366             0.152         8.995
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.051               0.080            -0.030         0.040
AODDUST            0.003               0.002             0.000         0.002
TREFHT           270.531             280.524            -9.993        10.739
TS               271.309             281.224            -9.916        10.796
TS_LAND          253.821             262.910            -9.089         9.583
U_200             25.184              26.145            -0.962         3.360
VT_850            -0.399              -0.278            -0.121         1.600
Z3_500            53.208              54.810            -1.601         1.651
