DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -110.589            -116.025             5.436        10.979
RESSURF          -81.047             -88.946             7.899        23.774
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            6.119               4.937             1.182         3.043
CLDHGH            29.876              34.966            -5.090         7.456
CLDLOW            64.360              52.670            11.690        14.396
CLDMED            33.979              35.218            -1.239         5.862
CLDTOT            74.453              67.659             6.794        10.424
EKE_850           55.431              52.269             3.162         7.173
EP             2.073e-01           1.745e-01         3.277e-02         0.708
FLNS              58.999              57.086             1.912         6.162
FLNSC             93.039              91.098             1.940        10.619
FLNT             203.105             217.562           -14.457        16.004
FLNTC            220.346             239.474           -19.128        22.372
FSDS              79.308              76.976             2.332        13.083
FSDSC            109.460             104.455             5.005         5.679
FSNS              62.571              69.545            -6.973         9.478
FSNSC             87.630              93.462            -5.833        13.337
FSNSC_ICE          8.368               2.175             6.193         0.416
FSNSC_LAND        70.218              69.572             0.646         6.585
FSNT              92.516             101.537            -9.021        11.099
FSNTC            115.322             124.224            -8.902        14.620
ICEAREA           47.751              13.114            34.637         0.580
LHFLX             62.823              83.968           -21.145        27.071
LWCF              17.241              21.913            -4.672         9.637
PRECT              1.853               2.647            -0.794         1.059
PRECT_LAND         0.537               0.775            -0.238         0.605
PRECT_OCEAN        2.523               3.183            -0.660         0.997
PREH2O             8.008              13.512            -5.503         5.963
PREH2O_OCEAN      12.094              15.992            -3.898         7.088
PSI_200            5.905               7.938            -2.033         2.132
PS               983.176             982.797             0.380         6.751
PSL             1008.137            1007.566             0.570         6.700
QFLX               2.061               2.822            -0.761         0.959
SHFLX             21.796              17.436             4.360        16.387
SNOWHLND          48.248              47.360             0.888         6.835
SST               13.140              18.993            -5.853         5.958
STRESS_MAG         0.094               0.096            -0.001         0.040
SWCF             -22.806             -22.687            -0.119        11.494
T_850            262.632             272.164            -9.531        10.241
TGCLDLWP          25.218              32.706            -7.488        22.073
TGCLDIWP          18.588              20.758            -2.170        17.529
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.047               0.078            -0.031         0.041
AODDUST            0.002               0.002             0.000         0.001
TREFHT           265.349             277.256           -11.907        13.179
TS               266.294             278.104           -11.810        13.367
TS_LAND          244.103             255.098           -10.995        11.880
U_200             30.440              30.280             0.160         6.200
VT_850            -0.604              -0.428            -0.176         2.263
Z3_500            52.492              54.202            -1.710         1.891
