DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            51.077              51.002             0.076        15.050
RESSURF           16.049              15.182             0.867        15.262
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.582              -0.605             0.023         1.673
CLDHGH            45.976              44.971             1.005        10.655
CLDLOW            35.163              31.142             4.021         9.939
CLDMED            21.776              20.319             1.456         9.316
CLDTOT            63.922              60.421             3.502        10.140
EKE_850           11.208              10.081             1.126         3.095
EP            -9.148e-02          -1.200e-01         2.849e-02         2.414
FLNS              60.700              53.221             7.479        10.818
FLNSC             84.888              69.662            15.226        16.369
FLNT             243.866             251.184            -7.318        16.313
FLNTC            279.104             283.286            -4.182         6.348
FSDS             225.414             226.853            -1.439        20.891
FSDSC            303.793             296.643             7.150         7.570
FSNS             208.654             210.148            -1.494        19.821
FSNSC            282.253             275.671             6.582         7.007
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       253.082             247.395             5.687         5.956
FSNT             294.943             302.185            -7.242        19.331
FSNTC            363.032             363.566            -0.534         1.451
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.767             125.536           -11.769        25.152
LWCF              35.238              32.102             3.136        11.555
PRECT              4.034               4.473            -0.439         2.191
PRECT_LAND         3.975               4.394            -0.419         1.525
PRECT_OCEAN        4.023               4.471            -0.449         2.360
PREH2O            27.954              39.813           -11.859        13.081
PREH2O_OCEAN      29.093              41.725           -12.631        13.762
PSI_200            0.885               1.318            -0.433         0.659
PS               994.422             995.651            -1.229         1.831
PSL             1009.593            1010.737            -1.144         1.726
QFLX               3.942               4.353            -0.410         0.673
SHFLX             18.139              16.209             1.929         5.438
SNOWHLND           0.000               0.000             0.000         0.000
SST               22.548              27.082            -4.535         4.761
STRESS_MAG         0.064               0.058             0.006         0.023
SWCF             -68.088             -61.380            -6.708        19.648
T_850            284.258             289.222            -4.964         5.114
TGCLDLWP          51.705              48.390             3.314        24.605
TGCLDIWP          22.397              19.138             3.259        10.673
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.117               0.125            -0.008         0.038
AODDUST            0.018               0.023            -0.004         0.014
TREFHT           293.818             298.424            -4.606         4.757
TS               294.923             299.425            -4.502         4.685
TS_LAND          292.092             296.691            -4.599         4.645
U_200              4.557               4.171             0.386         5.017
VT_850            -1.885              -2.323             0.438         1.928
Z3_500            57.134              58.358            -1.224         1.225
