DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            52.276              53.110            -0.834        12.008
RESSURF           20.708              23.773            -3.065        14.573
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.471              -0.598             0.128         2.953
CLDHGH            45.126              43.863             1.263        14.547
CLDLOW            35.232              31.095             4.137         9.221
CLDMED            20.497              19.132             1.366        11.714
CLDTOT            63.580              59.997             3.583        11.583
EKE_850           12.759              10.057             2.702         5.717
EP            -3.593e-02          -1.115e-01         7.556e-02         2.742
FLNS              59.637              52.322             7.315        10.704
FLNSC             83.133              68.236            14.897        16.307
FLNT             246.874             253.287            -6.414        21.061
FLNTC            280.839             284.639            -3.800         6.787
FSDS             229.023             231.186            -2.163        20.665
FSDSC            303.049             296.643             6.406         6.928
FSNS             212.117             214.066            -1.950        19.451
FSNSC            281.603             275.613             5.990         6.476
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       251.261             246.053             5.207         5.521
FSNT             299.149             306.398            -7.248        18.740
FSNTC            363.121             363.819            -0.698         1.546
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.615             121.040            -7.425        25.208
LWCF              33.965              31.352             2.613        15.328
PRECT              3.966               4.308            -0.342         2.472
PRECT_LAND         3.958               3.934             0.023         1.509
PRECT_OCEAN        3.941               4.409            -0.468         2.705
PREH2O            29.184              41.361           -12.176        13.599
PREH2O_OCEAN      30.137              43.148           -13.012        14.469
PSI_200           -0.545               0.121            -0.666         0.822
PS               994.597             995.427            -0.830         1.622
PSL             1009.736            1010.466            -0.730         1.518
QFLX               3.930               4.196            -0.267         0.620
SHFLX             18.157              16.931             1.226         7.289
SNOWHLND           0.000               0.000             0.000         0.000
SST               23.017              27.519            -4.502         4.723
STRESS_MAG         0.062               0.051             0.010         0.025
SWCF             -63.971             -57.421            -6.550        19.331
T_850            285.190             290.217            -5.027         5.129
TGCLDLWP          48.183              44.065             4.118        18.503
TGCLDIWP          21.486              18.016             3.469        12.360
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.130               0.127             0.004         0.040
AODDUST            0.031               0.031            -0.001         0.014
TREFHT           294.562             299.237            -4.675         4.822
TS               295.674             300.279            -4.605         4.788
TS_LAND          293.757             298.871            -5.114         5.175
U_200              5.870               6.532            -0.662         6.105
VT_850             1.090               0.082             1.008         2.187
Z3_500            57.288              58.455            -1.167         1.168
