DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            49.830              53.611            -3.781        16.352
RESSURF           21.056              24.317            -3.260        12.904
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.357              -0.370             0.013         3.252
CLDHGH            43.835              42.293             1.542        11.495
CLDLOW            39.029              33.013             6.017        10.097
CLDMED            22.501              20.383             2.118         9.674
CLDTOT            65.664              60.712             4.952         9.855
EKE_850           13.157              11.653             1.505         4.828
EP            -1.645e-01          -2.416e-01         7.711e-02         2.206
FLNS              57.544              51.240             6.304        10.201
FLNSC             84.656              68.725            15.931        16.765
FLNT             243.473             252.317            -8.844        17.079
FLNTC            277.949             283.529            -5.580         7.306
FSDS             221.461             228.817            -7.356        22.417
FSDSC            308.085             300.408             7.677         7.885
FSNS             205.278             212.132            -6.853        21.262
FSNSC            286.745             279.579             7.166         7.356
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       257.467             250.099             7.368         7.660
FSNT             293.302             305.928           -12.625        22.011
FSNTC            367.740             368.505            -0.765         1.497
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            107.196             118.822           -11.626        21.969
LWCF              34.476              31.212             3.264        12.069
PRECT              3.890               4.379            -0.489         2.054
PRECT_LAND         3.723               3.813            -0.089         1.155
PRECT_OCEAN        3.925               4.543            -0.618         2.267
PREH2O            27.793              40.782           -12.989        13.704
PREH2O_OCEAN      28.710              42.447           -13.736        14.408
PSI_200           -1.527              -1.200            -0.327         0.658
PS               995.335             996.194            -0.859         1.754
PSL             1010.507            1011.245            -0.738         1.634
QFLX               3.725               4.137            -0.412         0.596
SHFLX             19.482              17.753             1.729         5.592
SNOWHLND           0.000               0.000             0.000         0.000
SST               21.648              26.805            -5.157         5.341
STRESS_MAG         0.071               0.056             0.014         0.027
SWCF             -74.437             -62.577           -11.860        21.780
T_850            283.983             289.765            -5.782         5.918
TGCLDLWP          61.329              50.253            11.076        29.284
TGCLDIWP          21.491              18.132             3.359        10.873
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.132               0.132            -0.001         0.040
AODDUST            0.019               0.023            -0.005         0.019
TREFHT           293.349             298.695            -5.346         5.469
TS               294.423             299.708            -5.285         5.448
TS_LAND          292.814             298.708            -5.895         5.968
U_200              0.016               3.199            -3.183         6.344
VT_850             1.236               0.655             0.582         1.919
Z3_500            57.128              58.441            -1.313         1.313
