DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -0.107              -0.108             0.000         2.531
RESSURF           -0.109              -0.109             0.001         1.835
SOLIN            340.348             340.348             0.000         0.000
AAM            1.412e+26           1.389e+26         2.283e+24      -999.000
CHI_200           -0.002              -0.002            -0.000         0.394
CLDHGH            38.372              38.448            -0.076         1.828
CLDLOW            41.086              42.433            -1.347         2.505
CLDMED            25.603              26.857            -1.254         2.156
CLDTOT            62.228              63.362            -1.135         2.234
EKE_850           28.430              29.506            -1.076         2.088
EP            -1.478e-05          -2.917e-05         1.440e-05         0.327
FLNS              53.807              55.639            -1.832         2.856
FLNSC             77.635              81.263            -3.628         4.438
FLNT             239.686             237.367             2.319         3.358
FLNTC            263.412             261.621             1.791         2.771
FSDS             186.868             187.421            -0.553         4.414
FSDSC            245.083             247.197            -2.114         2.197
FSNS             164.216             163.394             0.822         3.820
FSNSC            217.393             217.871            -0.478         4.247
FSNSC_ICE         55.038              50.887             4.152        14.957
FSNSC_LAND       179.636             180.009            -0.373         2.335
FSNT             239.579             237.259             2.319         4.057
FSNTC            288.424             287.008             1.416         4.154
ICEAREA           15.040              20.125            -5.085         0.133
LHFLX             92.548              89.258             3.290         4.751
LWCF              23.726              24.254            -0.528         1.949
PRECT              3.177               3.059             0.118         0.320
PRECT_LAND         2.332               2.241             0.091         0.233
PRECT_OCEAN        3.661               3.555             0.106         0.355
PREH2O            28.763              25.542             3.221         3.552
PREH2O_OCEAN      33.172              29.801             3.371         3.937
PSI_200           -0.021              -0.021            -0.000         0.105
PS               985.707             985.391             0.316         0.733
PSL             1011.716            1011.512             0.204         0.662
QFLX               3.177               3.059             0.118         0.152
SHFLX             17.970              18.607            -0.637         2.292
SNOWHLND          10.500              11.148            -0.647         5.497
SST               22.063              20.495             1.568         1.617
STRESS_MAG         0.063               0.064            -0.001         0.006
SWCF             -48.845             -49.749             0.904         3.977
T_850            282.904             280.988             1.915         1.967
TGCLDLWP          41.750              40.938             0.812         5.085
TGCLDIWP          16.018              17.100            -1.082         3.216
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.103             0.003         0.010
AODDUST            0.022               0.022            -0.000         0.005
TREFHT           289.524             287.483             2.041         2.259
TS               290.298             288.285             2.013         2.262
TS_LAND          283.865             281.422             2.443         2.584
U_200             16.281              16.125             0.155         0.889
VT_850             0.125               0.159            -0.034         0.620
Z3_500            56.942              56.505             0.437         0.442
