DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             7.571               7.848            -0.278         5.330
RESSURF            6.721               7.265            -0.544         8.333
SOLIN            350.480             350.480             0.000         0.000
AAM            1.506e+26           1.475e+26         3.075e+24      -999.000
CHI_200           -0.011              -0.010            -0.001         0.561
CLDHGH            38.540              38.560            -0.020         3.278
CLDLOW            42.797              44.110            -1.313         3.238
CLDMED            26.500              27.712            -1.212         2.982
CLDTOT            63.560              64.630            -1.070         3.351
EKE_850           24.607              25.784            -1.177         2.837
EP             5.170e-03           4.142e-03         1.029e-03         0.567
FLNS              52.607              54.436            -1.829         3.733
FLNSC             76.729              80.319            -3.590         4.995
FLNT             237.040             234.586             2.455         4.644
FLNTC            260.212             258.206             2.006         3.396
FSDS             193.292             194.332            -1.040         7.479
FSDSC            254.563             256.815            -2.252         2.631
FSNS             168.418             167.831             0.586         6.540
FSNSC            224.749             225.104            -0.354         7.388
FSNSC_ICE         12.284              23.573           -11.288         9.302
FSNSC_LAND       143.600             143.315             0.285         4.229
FSNT             244.611             242.434             2.177         6.398
FSNTC            296.080             294.466             1.614         7.233
ICEAREA           15.475              19.042            -3.567         0.113
LHFLX             93.106              89.371             3.735         7.946
LWCF              23.172              23.620            -0.448         2.971
PRECT              3.188               3.055             0.132         0.524
PRECT_LAND         2.346               2.268             0.077         0.419
PRECT_OCEAN        3.660               3.528             0.132         0.576
PREH2O            27.697              24.502             3.194         3.779
PREH2O_OCEAN      32.749              29.258             3.491         4.196
PSI_200            0.007               0.007            -0.000         0.185
PS               985.602             985.289             0.313         0.951
PSL             1011.936            1011.756             0.180         0.860
QFLX               3.193               3.060             0.133         0.240
SHFLX             15.985              16.760            -0.775         3.350
SNOWHLND          11.161              11.909            -0.749         5.546
SST               22.037              20.446             1.592         1.644
STRESS_MAG         0.069               0.069            -0.000         0.009
SWCF             -51.469             -52.032             0.563         6.618
T_850            281.411             279.452             1.958         2.051
TGCLDLWP          40.323              39.219             1.104         6.862
TGCLDIWP          15.943              17.149            -1.205         5.010
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.089             0.003         0.012
AODDUST            0.012               0.012            -0.000         0.005
TREFHT           287.691             285.560             2.132         2.470
TS               288.449             286.356             2.093         2.484
TS_LAND          277.675             274.981             2.694         2.998
U_200             16.906              16.688             0.218         1.525
VT_850            -0.785              -0.764            -0.021         1.005
Z3_500            56.724              56.273             0.451         0.461
