DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -9.594             -10.029             0.434         5.500
RESSURF          -10.708             -10.925             0.218         9.098
SOLIN            330.417             330.417             0.000         0.000
AAM            1.198e+26           1.171e+26         2.682e+24      -999.000
CHI_200            0.008               0.008             0.000         0.847
CLDHGH            37.717              37.875            -0.158         2.859
CLDLOW            40.290              41.752            -1.462         3.380
CLDMED            24.569              25.839            -1.270         3.039
CLDTOT            61.426              62.658            -1.233         3.204
EKE_850           24.900              26.028            -1.128         2.921
EP             8.972e-03           6.588e-03         2.384e-03         0.527
FLNS              53.634              55.428            -1.794         3.405
FLNSC             77.162              80.993            -3.831         4.677
FLNT             242.786             240.523             2.263         3.950
FLNTC            266.838             265.290             1.548         2.631
FSDS             176.917             176.962            -0.045         6.134
FSDSC            234.605             236.650            -2.046         2.547
FSNS             157.670             156.396             1.273         6.531
FSNSC            210.224             210.627            -0.403         7.186
FSNSC_ICE         29.833              39.435            -9.602        20.115
FSNSC_LAND       216.116             217.530            -1.415         3.110
FSNT             233.192             230.494             2.698         6.629
FSNTC            281.807             280.379             1.428         7.102
ICEAREA           14.690              20.870            -6.180         0.200
LHFLX             94.996              91.619             3.378         6.891
LWCF              24.052              24.767            -0.715         2.738
PRECT              3.256               3.138             0.118         0.499
PRECT_LAND         2.415               2.335             0.080         0.432
PRECT_OCEAN        3.715               3.618             0.097         0.533
PREH2O            30.370              27.043             3.326         3.755
PREH2O_OCEAN      33.581              30.313             3.269         4.049
PSI_200           -0.051              -0.051            -0.001         0.164
PS               985.865             985.538             0.326         0.905
PSL             1011.566            1011.336             0.230         0.927
QFLX               3.265               3.144             0.121         0.207
SHFLX             19.747              20.275            -0.528         3.976
SNOWHLND           9.678              10.196            -0.519         5.670
SST               21.739              20.177             1.562         1.619
STRESS_MAG         0.075               0.076            -0.001         0.009
SWCF             -48.616             -49.885             1.270         5.329
T_850            284.450             282.588             1.862         1.915
TGCLDLWP          45.333              45.088             0.245         6.666
TGCLDIWP          16.301              17.473            -1.172         4.534
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.127               0.124             0.003         0.017
AODDUST            0.031               0.032            -0.000         0.011
TREFHT           291.212             289.306             1.905         2.091
TS               291.957             290.081             1.876         2.110
TS_LAND          289.605             287.466             2.139         2.228
U_200             14.332              14.162             0.170         1.285
VT_850             1.068               1.119            -0.051         1.009
Z3_500            57.220              56.793             0.428         0.436
