DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.407               1.209             0.198         4.672
RESSURF            4.844               4.540             0.304         6.402
SOLIN            342.210             342.210             0.000         0.000
AAM            1.421e+26           1.404e+26         1.621e+24      -999.000
CHI_200            0.003               0.003            -0.000         0.502
CLDHGH            38.136              38.076             0.060         3.123
CLDLOW            41.357              42.783            -1.425         3.560
CLDMED            25.771              26.959            -1.188         2.706
CLDTOT            61.943              63.089            -1.147         3.425
EKE_850           25.488              26.482            -0.993         2.581
EP            -2.811e-02          -2.580e-02        -2.312e-03         0.481
FLNS              54.238              56.135            -1.897         3.769
FLNSC             78.498              82.022            -3.524         5.276
FLNT             240.023             237.825             2.198         4.316
FLNTC            263.389             261.560             1.829         3.525
FSDS             188.883             189.365            -0.482         6.608
FSDSC            247.198             249.390            -2.192         2.457
FSNS             166.311             165.446             0.864         5.754
FSNSC            219.703             220.317            -0.615         7.030
FSNSC_ICE         58.133              47.405            10.728        11.572
FSNSC_LAND       165.016             166.029            -1.013         1.881
FSNT             241.430             239.034             2.396         5.702
FSNTC            290.339             288.989             1.350         6.763
ICEAREA           14.007              21.106            -7.100         0.274
LHFLX             90.057              86.975             3.081         6.692
LWCF              23.367              23.735            -0.369         2.885
PRECT              3.122               3.007             0.115         0.446
PRECT_LAND         2.282               2.168             0.114         0.338
PRECT_OCEAN        3.554               3.499             0.055         0.491
PREH2O            28.480              25.247             3.233         3.678
PREH2O_OCEAN      32.419              29.402             3.017         3.992
PSI_200           -0.026              -0.026             0.000         0.159
PS               985.679             985.362             0.317         0.995
PSL             1011.656            1011.451             0.205         0.955
QFLX               3.094               2.982             0.112         0.205
SHFLX             17.172              17.795            -0.623         3.423
SNOWHLND           9.795              10.349            -0.554         5.863
SST               21.715              20.136             1.579         1.639
STRESS_MAG         0.068               0.071            -0.003         0.009
SWCF             -48.910             -49.955             1.046         5.892
T_850            282.797             280.861             1.936         2.017
TGCLDLWP          41.891              41.061             0.829         6.948
TGCLDIWP          15.394              16.258            -0.864         4.340
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.101               0.098             0.003         0.013
AODDUST            0.017               0.017             0.000         0.007
TREFHT           289.610             287.492             2.118         2.596
TS               290.391             288.292             2.099         2.659
TS_LAND          284.307             281.806             2.500         2.748
U_200             16.399              16.241             0.158         1.367
VT_850             0.132               0.178            -0.046         1.077
Z3_500            56.907              56.475             0.432         0.443
