DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -28.742             -28.489            -0.254         2.634
RESSURF          -11.440             -11.457             0.017         1.990
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.003              -0.117             0.120         0.362
CLDHGH            36.155              36.085             0.070         1.816
CLDLOW            42.806              44.318            -1.513         2.681
CLDMED            28.336              29.859            -1.523         2.214
CLDTOT            61.569              62.698            -1.129         2.146
EKE_850           33.045              34.505            -1.460         2.400
EP             6.671e-04           2.800e-03        -2.133e-03         0.227
FLNS              60.200              61.164            -0.964         2.301
FLNSC             86.232              88.557            -2.325         3.829
FLNT             234.794             231.593             3.201         3.814
FLNTC            254.706             251.642             3.064         3.885
FSDS             167.972             168.662            -0.690         3.837
FSDSC            218.722             220.771            -2.049         2.149
FSNS             139.759             138.157             1.602         3.841
FSNSC            184.538             183.959             0.579         4.502
FSNSC_ICE         52.292              47.382             4.910        15.529
FSNSC_LAND       169.166             168.728             0.438         2.810
FSNT             206.052             203.105             2.948         4.316
FSNTC            246.853             244.516             2.337         4.766
ICEAREA            8.061              10.371            -2.310         0.127
LHFLX             67.386              64.207             3.179         4.470
LWCF              19.911              20.048            -0.137         1.571
PRECT              2.298               2.180             0.118         0.252
PRECT_LAND         1.816               1.713             0.102         0.207
PRECT_OCEAN        3.044               2.925             0.119         0.301
PREH2O            19.874              17.351             2.523         2.701
PREH2O_OCEAN      26.338              23.314             3.024         3.313
PSI_200           -7.381              -7.335            -0.046         0.127
PS               976.486             976.417             0.069         0.906
PSL             1016.309            1016.456            -0.146         0.836
QFLX               2.298               2.183             0.116         0.153
SHFLX             23.613              24.243            -0.630         2.276
SNOWHLND           3.544               4.709            -1.165         7.353
SST               19.654              17.927             1.726         1.779
STRESS_MAG         0.048               0.047             0.001         0.006
SWCF             -40.800             -41.411             0.611         3.256
T_850            279.159             276.899             2.261         2.307
TGCLDLWP          37.262              35.951             1.311         4.552
TGCLDIWP          16.070              17.038            -0.969         2.957
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.087             0.001         0.008
AODDUST            0.033               0.034            -0.000         0.007
TREFHT           284.617             282.004             2.613         2.901
TS               285.295             282.686             2.608         2.935
TS_LAND          282.046             279.216             2.830         2.963
U_200             19.891              19.623             0.267         1.078
VT_850             0.230               0.275            -0.044         0.705
Z3_500            56.527              56.066             0.460         0.467
