DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            56.815              53.518             3.297         8.875
RESSURF           62.281              59.445             2.836        10.285
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.066              -4.301             0.236         0.728
CLDHGH            35.868              35.710             0.157         2.777
CLDLOW            40.335              41.648            -1.313         3.871
CLDMED            21.408              22.627            -1.219         2.411
CLDTOT            59.407              60.054            -0.647         3.004
EKE_850           18.336              18.984            -0.648         2.028
EP            -2.133e-01          -1.886e-01        -2.475e-02         0.425
FLNS              57.168              58.833            -1.665         3.709
FLNSC             81.765              85.736            -3.971         4.570
FLNT             251.087             249.207             1.880         3.121
FLNTC            272.541             270.946             1.596         2.123
FSDS             241.627             242.340            -0.713         8.706
FSDSC            322.381             325.614            -3.233         3.669
FSNS             206.549             203.407             3.143         9.869
FSNSC            279.121             277.911             1.211        12.390
FSNSC_ICE        138.483             117.354            21.129        44.224
FSNSC_LAND       262.055             263.937            -1.881         3.898
FSNT             307.902             302.725             5.177        10.146
FSNTC            373.620             369.713             3.906        12.434
ICEAREA            5.030               7.756            -2.726         0.172
LHFLX             60.544              58.715             1.829         5.073
LWCF              21.455              21.739            -0.284         1.905
PRECT              2.330               2.236             0.094         0.410
PRECT_LAND         2.637               2.538             0.099         0.484
PRECT_OCEAN        2.158               2.105             0.053         0.342
PREH2O            28.337              24.881             3.456         3.667
PREH2O_OCEAN      33.135              29.594             3.541         4.249
PSI_200           -5.188              -5.125            -0.063         0.177
PS               976.357             976.213             0.144         0.683
PSL             1014.871            1014.858             0.013         0.643
QFLX               2.116               2.047             0.069         0.152
SHFLX             26.556              26.414             0.142         2.622
SNOWHLND           1.884               2.825            -0.941         7.595
SST               20.987              19.263             1.724         1.794
STRESS_MAG         0.045               0.049            -0.004         0.007
SWCF             -65.717             -66.989             1.271         7.268
T_850            286.956             284.859             2.097         2.112
TGCLDLWP          53.140              53.433            -0.292         6.800
TGCLDIWP          15.612              15.837            -0.225         2.324
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.124               0.121             0.003         0.016
AODDUST            0.056               0.054             0.001         0.013
TREFHT           293.083             291.071             2.013         2.081
TS               293.581             291.572             2.009         2.095
TS_LAND          295.949             293.718             2.231         2.292
U_200             12.189              11.911             0.279         1.426
VT_850             0.078               0.093            -0.016         1.104
Z3_500            57.935              57.506             0.429         0.436
