DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            14.275              14.488            -0.213         4.743
RESSURF           16.518              16.291             0.227         6.657
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.878               1.646             0.232         0.571
CLDHGH            36.964              37.394            -0.430         3.211
CLDLOW            40.890              42.368            -1.479         3.170
CLDMED            29.377              30.982            -1.605         3.199
CLDTOT            61.417              62.793            -1.377         3.231
EKE_850           32.193              32.966            -0.772         3.229
EP             6.066e-02           4.559e-02         1.508e-02         0.312
FLNS              63.819              64.445            -0.626         3.104
FLNSC             90.165              92.090            -1.925         3.247
FLNT             230.963             227.394             3.569         4.686
FLNTC            251.601             248.427             3.174         3.926
FSDS             211.660             212.949            -1.289         6.944
FSDSC            270.827             273.040            -2.213         2.802
FSNS             167.653             165.728             1.925         6.376
FSNSC            219.346             218.044             1.302         7.033
FSNSC_ICE         44.759              44.069             0.690         7.516
FSNSC_LAND       203.142             200.835             2.307         6.529
FSNT             245.238             241.882             3.356         6.437
FSNTC            291.186             288.020             3.166         7.355
ICEAREA           12.657              13.611            -0.955         0.080
LHFLX             60.341              57.506             2.834         5.823
LWCF              20.638              21.032            -0.395         2.257
PRECT              1.984               1.898             0.086         0.312
PRECT_LAND         1.673               1.564             0.109         0.286
PRECT_OCEAN        2.575               2.521             0.054         0.358
PREH2O            16.581              14.583             1.997         2.199
PREH2O_OCEAN      22.255              19.915             2.340         2.661
PSI_200           -8.590              -8.580            -0.010         0.163
PS               977.084             977.027             0.057         1.208
PSL             1016.859            1017.008            -0.149         1.204
QFLX               2.045               1.944             0.102         0.189
SHFLX             26.975              27.486            -0.511         3.204
SNOWHLND           5.323               6.693            -1.369         6.985
SST               17.692              16.017             1.675         1.730
STRESS_MAG         0.045               0.048            -0.003         0.010
SWCF             -45.948             -46.139             0.190         5.451
T_850            277.636             275.370             2.266         2.369
TGCLDLWP          33.565              31.724             1.841         6.592
TGCLDIWP          16.791              18.004            -1.213         3.229
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.095               0.096            -0.001         0.019
AODDUST            0.044               0.046            -0.002         0.018
TREFHT           283.212             280.737             2.475         2.704
TS               283.867             281.393             2.475         2.723
TS_LAND          282.300             279.497             2.803         2.988
U_200             21.740              21.615             0.125         1.902
VT_850             0.409               0.444            -0.035         1.289
Z3_500            56.204              55.748             0.456         0.469
