DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -74.533             -72.978            -1.555         3.862
RESSURF          -42.829             -41.855            -0.974         8.042
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.797              -1.849             0.053         0.428
CLDHGH            36.257              35.941             0.316         3.105
CLDLOW            41.847              43.131            -1.283         4.304
CLDMED            28.144              29.689            -1.545         2.949
CLDTOT            60.105              61.072            -0.966         3.787
EKE_850           29.373              30.981            -1.608         3.330
EP             1.027e-02           2.296e-02        -1.269e-02         0.398
FLNS              60.520              61.984            -1.464         4.050
FLNSC             86.519              88.812            -2.294         6.249
FLNT             238.098             234.906             3.192         4.845
FLNTC            257.662             254.298             3.364         5.338
FSDS             128.833             129.383            -0.550         4.950
FSDSC            166.661             168.341            -1.680         1.862
FSNS             111.435             111.048             0.386         4.264
FSNSC            144.834             145.362            -0.528         2.497
FSNSC_ICE          9.897               9.590             0.307         5.537
FSNSC_LAND       132.090             132.544            -0.454         1.730
FSNT             163.565             161.928             1.637         4.059
FSNTC            194.910             193.854             1.057         2.340
ICEAREA            2.785               6.997            -4.213         0.372
LHFLX             74.085              70.374             3.711         6.944
LWCF              19.564              19.392             0.173         2.845
PRECT              2.519               2.369             0.150         0.402
PRECT_LAND         1.748               1.627             0.121         0.317
PRECT_OCEAN        3.334               3.309             0.025         0.474
PREH2O            21.283              18.416             2.867         3.178
PREH2O_OCEAN      27.310              25.041             2.269         3.780
PSI_200           -6.923              -6.893            -0.030         0.175
PS               976.445             976.586            -0.141         1.241
PSL             1016.220            1016.582            -0.362         1.218
QFLX               2.529               2.392             0.137         0.225
SHFLX             19.659              20.545            -0.886         3.988
SNOWHLND           2.056               3.085            -1.029         7.981
SST               21.072              19.263             1.809         1.872
STRESS_MAG         0.051               0.054            -0.003         0.008
SWCF             -31.346             -31.926             0.580         4.060
T_850            279.916             277.597             2.319         2.420
TGCLDLWP          36.424              34.679             1.745         7.664
TGCLDIWP          14.206              14.872            -0.666         4.997
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.078               0.077             0.001         0.009
AODDUST            0.023               0.023            -0.000         0.007
TREFHT           286.389             283.481             2.909         3.711
TS               287.139             284.219             2.920         3.857
TS_LAND          282.394             279.482             2.912         3.205
U_200             19.345              19.098             0.248         1.534
VT_850             0.064               0.105            -0.041         1.407
Z3_500            56.730              56.272             0.457         0.473
