DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            79.157              77.005             2.152         7.545
RESSURF           86.779              85.448             1.331        10.224
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.390              -3.377            -0.013         0.405
CLDHGH            34.930              34.646             0.284         2.873
CLDLOW            50.909              52.418            -1.509         3.415
CLDMED            25.888              27.462            -1.574         2.726
CLDTOT            65.998              66.968            -0.970         3.299
EKE_850           26.753              27.654            -0.901         2.081
EP             5.403e-02           1.280e-02         4.123e-02         0.398
FLNS              48.843              50.827            -1.983         3.787
FLNSC             80.643              84.834            -4.191         4.794
FLNT             238.168             235.985             2.183         3.428
FLNTC            257.657             255.820             1.836         2.350
FSDS             261.196             262.776            -1.580        10.835
FSDSC            350.194             353.551            -3.357         3.560
FSNS             218.720             216.485             2.235         9.093
FSNSC            300.768             299.838             0.931        12.260
FSNSC_ICE        126.789             111.775            15.014        30.551
FSNSC_LAND       176.793             177.952            -1.159         2.564
FSNT             317.326             312.990             4.335         9.136
FSNTC            389.777             386.131             3.646        12.192
ICEAREA            3.722               5.924            -2.201         0.122
LHFLX             72.302              68.574             3.728         7.611
LWCF              19.488              19.835            -0.347         1.990
PRECT              2.420               2.332             0.088         0.333
PRECT_LAND         2.346               2.234             0.112         0.451
PRECT_OCEAN        2.477               2.419             0.058         0.308
PREH2O            23.448              20.568             2.880         3.231
PREH2O_OCEAN      24.876              22.200             2.677         3.225
PSI_200            7.397               7.302             0.095         0.152
PS               983.750             983.292             0.458         0.978
PSL             1007.640            1007.264             0.376         0.858
QFLX               2.474               2.344             0.129         0.232
SHFLX             10.797              11.637            -0.840         2.215
SNOWHLND          46.848              47.248            -0.400         4.064
SST               17.383              15.598             1.785         1.826
STRESS_MAG         0.074               0.077            -0.003         0.008
SWCF             -72.451             -73.140             0.689         9.706
T_850            279.725             277.738             1.988         2.029
TGCLDLWP          45.269              44.355             0.914         7.895
TGCLDIWP          11.443              12.708            -1.266         3.533
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.081             0.005         0.010
AODDUST            0.002               0.003            -0.000         0.003
TREFHT           286.134             284.188             1.947         2.001
TS               286.630             284.723             1.906         1.975
TS_LAND          275.020             272.625             2.395         2.481
U_200             21.538              21.316             0.222         1.256
VT_850            -0.135              -0.148             0.012         0.938
Z3_500            55.969              55.505             0.464         0.471
