DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -72.260             -71.520            -0.740         2.838
RESSURF          -47.132             -46.627            -0.504         7.434
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.249              -1.001            -0.248         0.528
CLDHGH            36.366              36.154             0.211         2.784
CLDLOW            48.897              50.835            -1.938         3.546
CLDMED            29.559              31.456            -1.897         3.115
CLDTOT            65.228              66.771            -1.543         3.243
EKE_850           37.313              39.524            -2.212         3.635
EP             1.373e-01           1.235e-01         1.382e-02         0.392
FLNS              51.793              53.337            -1.544         3.388
FLNSC             82.441              86.196            -3.755         5.153
FLNT             229.894             227.238             2.656         3.730
FLNTC            251.032             248.814             2.218         3.220
FSDS             118.863             118.588             0.275         4.113
FSDSC            161.105             162.774            -1.669         1.776
FSNS             107.520             106.670             0.850         3.718
FSNSC            145.401             146.276            -0.875         2.900
FSNSC_ICE         20.756              18.609             2.147         9.835
FSNSC_LAND        93.694              94.371            -0.677         1.074
FSNT             157.634             155.718             1.916         3.816
FSNTC            192.946             192.377             0.570         2.584
ICEAREA            3.315               5.885            -2.570         0.209
LHFLX             89.601              85.313             4.288         6.702
LWCF              21.139              21.576            -0.438         2.361
PRECT              2.908               2.768             0.140         0.405
PRECT_LAND         1.438               1.262             0.176         0.325
PRECT_OCEAN        3.254               3.151             0.103         0.414
PREH2O            21.269              18.538             2.731         3.044
PREH2O_OCEAN      23.268              20.656             2.612         3.147
PSI_200            8.357               8.403            -0.046         0.182
PS               983.202             982.620             0.582         1.191
PSL             1007.656            1007.150             0.506         1.113
QFLX               3.046               2.891             0.154         0.216
SHFLX             13.257              14.647            -1.390         3.932
SNOWHLND          46.815              47.208            -0.392         4.510
SST               17.176              15.366             1.810         1.850
STRESS_MAG         0.084               0.086            -0.002         0.010
SWCF             -35.312             -36.658             1.346         3.802
T_850            278.024             276.011             2.013         2.066
TGCLDLWP          39.881              38.650             1.231         7.574
TGCLDIWP          14.654              16.383            -1.729         4.510
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.082             0.006         0.011
AODDUST            0.001               0.001            -0.000         0.002
TREFHT           283.740             281.522             2.218         2.490
TS               284.492             282.316             2.176         2.515
TS_LAND          263.292             260.820             2.472         2.657
U_200             25.234              25.217             0.017         1.556
VT_850            -0.211              -0.225             0.014         1.214
Z3_500            55.515              55.026             0.489         0.502
