DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            18.927              17.513             1.414         6.425
RESSURF           29.574              29.091             0.483         6.052
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.218               2.267            -0.049         0.410
CLDHGH            35.603              35.552             0.051         2.206
CLDLOW            50.709              53.227            -2.518         3.758
CLDMED            30.032              31.494            -1.462         2.680
CLDTOT            65.706              67.734            -2.027         3.238
EKE_850           38.330              39.313            -0.982         2.597
EP             1.990e-01           1.638e-01         3.520e-02         0.256
FLNS              54.831              55.694            -0.864         2.881
FLNSC             87.098              89.921            -2.823         3.479
FLNT             227.375             224.736             2.639         3.059
FLNTC            246.801             244.556             2.245         2.697
FSDS             205.346             205.769            -0.423         8.858
FSDSC            271.490             274.084            -2.595         2.917
FSNS             170.980             168.276             2.704         7.607
FSNSC            230.710             229.813             0.898        11.907
FSNSC_ICE         62.509              62.803            -0.294        11.970
FSNSC_LAND       137.269             138.523            -1.254         1.719
FSNT             246.302             242.249             4.053         7.776
FSNTC            299.128             296.292             2.836        11.665
ICEAREA           11.222              14.109            -2.887         0.197
LHFLX             72.344              68.399             3.945         6.162
LWCF              19.426              19.820            -0.394         1.783
PRECT              2.238               2.131             0.106         0.252
PRECT_LAND         1.235               1.179             0.056         0.206
PRECT_OCEAN        2.512               2.424             0.087         0.248
PREH2O            16.840              14.917             1.923         2.076
PREH2O_OCEAN      19.103              17.237             1.866         2.210
PSI_200            8.235               8.137             0.098         0.169
PS               982.817             982.172             0.644         1.120
PSL             1007.099            1006.548             0.551         1.051
QFLX               2.437               2.295             0.142         0.210
SHFLX             14.232              15.092            -0.860         3.520
SNOWHLND          47.306              47.469            -0.163         3.277
SST               14.864              13.126             1.738         1.794
STRESS_MAG         0.097               0.100            -0.003         0.010
SWCF             -52.826             -54.043             1.217         8.132
T_850            275.668             273.720             1.948         1.987
TGCLDLWP          38.544              37.290             1.253         7.665
TGCLDIWP          13.874              15.574            -1.700         4.568
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.089               0.081             0.008         0.012
AODDUST            0.003               0.003             0.000         0.001
TREFHT           281.188             279.130             2.058         2.176
TS               281.786             279.754             2.031         2.179
TS_LAND          265.560             263.106             2.455         2.535
U_200             28.226              27.790             0.437         1.350
VT_850            -0.286              -0.308             0.021         1.053
Z3_500            54.957              54.506             0.451         0.463
