DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            46.567              46.545             0.022         2.010
RESSURF           14.923              14.862             0.061         1.790
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.505              -0.536             0.031         0.497
CLDHGH            42.963              43.406            -0.443         2.131
CLDLOW            31.335              31.805            -0.470         1.676
CLDMED            19.398              20.013            -0.616         1.890
CLDTOT            59.768              60.411            -0.644         1.949
EKE_850           14.758              15.037            -0.279         1.453
EP            -1.367e-01          -1.104e-01        -2.629e-02         0.460
FLNS              48.771              51.912            -3.141         3.557
FLNSC             63.458              68.552            -5.094         5.241
FLNT             253.688             252.551             1.137         3.164
FLNTC            283.941             283.746             0.195         0.992
FSDS             223.063             223.801            -0.738         3.712
FSDSC            290.249             292.380            -2.131         2.201
FSNS             206.535             207.215            -0.680         3.470
FSNSC            269.725             271.670            -1.945         2.027
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       241.561             243.158            -1.597         1.781
FSNT             300.255             299.096             1.159         3.260
FSNTC            359.410             359.193             0.217         0.431
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            125.985             123.399             2.586         4.791
LWCF              30.253              31.195            -0.942         2.441
PRECT              4.507               4.388             0.119         0.426
PRECT_LAND         3.856               3.784             0.072         0.296
PRECT_OCEAN        4.695               4.559             0.135         0.459
PREH2O            45.442              40.796             4.646         4.800
PREH2O_OCEAN      47.560              42.674             4.886         5.034
PSI_200           -0.617              -0.612            -0.005         0.075
PS               996.304             995.930             0.375         0.439
PSL             1011.340            1010.998             0.342         0.395
QFLX               4.371               4.278             0.093         0.132
SHFLX             16.857              17.042            -0.185         2.083
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.397              27.090             1.307         1.321
STRESS_MAG         0.050               0.053            -0.003         0.005
SWCF             -59.155             -60.097             0.942         3.335
T_850            291.238             289.687             1.551         1.561
TGCLDLWP          47.811              47.861            -0.050         3.370
TGCLDIWP          17.397              17.822            -0.425         2.415
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.138               0.138            -0.000         0.011
AODDUST            0.029               0.029             0.000         0.005
TREFHT           300.180             298.743             1.437         1.453
TS               301.144             299.746             1.398         1.422
TS_LAND          299.696             297.976             1.720         1.733
U_200              3.792               3.887            -0.095         0.729
VT_850             0.362               0.433            -0.071         0.467
Z3_500            58.828              58.436             0.392         0.392
