DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            28.396              28.401            -0.005         2.597
RESSURF           -4.282              -4.000            -0.282         4.966
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.468              -0.553             0.086         1.095
CLDHGH            41.758              42.468            -0.709         3.223
CLDLOW            31.431              31.963            -0.532         2.190
CLDMED            19.456              20.256            -0.800         3.210
CLDTOT            59.600              60.489            -0.890         3.046
EKE_850            9.373               9.603            -0.230         1.642
EP             2.831e-02           3.125e-02        -2.944e-03         0.732
FLNS              47.917              50.844            -2.927         3.580
FLNSC             62.654              67.551            -4.897         5.107
FLNT             254.962             253.448             1.514         4.524
FLNTC            283.891             283.540             0.351         1.547
FSDS             208.138             208.294            -0.155         5.530
FSDSC            273.913             275.788            -1.875         2.193
FSNS             192.352             192.465            -0.113         5.156
FSNSC            254.089             255.784            -1.696         1.973
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       227.838             229.004            -1.167         2.163
FSNT             283.358             281.849             1.509         4.916
FSNTC            341.118             340.873             0.246         0.567
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            131.686             128.333             3.353         7.327
LWCF              28.929              30.092            -1.164         3.443
PRECT              4.517               4.398             0.119         0.672
PRECT_LAND         3.057               2.994             0.063         0.426
PRECT_OCEAN        4.962               4.821             0.141         0.733
PREH2O            45.794              41.252             4.543         4.875
PREH2O_OCEAN      48.150              43.394             4.756         5.065
PSI_200           -2.671              -2.689             0.018         0.144
PS               996.982             996.463             0.519         0.580
PSL             1012.046            1011.561             0.486         0.544
QFLX               4.545               4.429             0.116         0.195
SHFLX             17.030              17.288            -0.257         2.138
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.248              26.955             1.293         1.308
STRESS_MAG         0.070               0.073            -0.003         0.007
SWCF             -57.760             -59.024             1.264         5.065
T_850            291.082             289.562             1.520         1.539
TGCLDLWP          48.096              48.743            -0.647         5.405
TGCLDIWP          15.572              15.982            -0.410         2.827
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.165               0.167            -0.002         0.020
AODDUST            0.036               0.038            -0.001         0.014
TREFHT           300.047             298.618             1.429         1.451
TS               300.969             299.575             1.394         1.424
TS_LAND          299.383             297.636             1.747         1.773
U_200              1.333               1.607            -0.275         1.187
VT_850             3.157               3.315            -0.159         0.764
Z3_500            58.896              58.493             0.403         0.404
