DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             6.727               8.037            -1.309        13.364
RESSURF            5.538               7.323            -1.785        19.238
SOLIN            350.480             350.480             0.000         0.000
AAM            1.548e+26           1.468e+26         8.010e+24      -999.000
CHI_200           -0.004              -0.010             0.005         1.965
CLDHGH            38.293              38.470            -0.177         6.970
CLDLOW            39.580              43.841            -4.261         9.177
CLDMED            22.708              27.732            -5.025         8.403
CLDTOT            60.712              64.415            -3.703         8.473
EKE_850           21.819              25.320            -3.501         5.721
EP             1.424e-03           7.315e-03        -5.892e-03         1.382
FLNS              45.107              54.579            -9.472        12.799
FLNSC             63.833              80.260           -16.427        20.342
FLNT             243.614             234.879             8.735        13.921
FLNTC            265.295             258.428             6.867        12.674
FSDS             190.636             194.502            -3.867        19.077
FSDSC            247.822             256.640            -8.818         9.837
FSNS             168.918             168.240             0.677        14.221
FSNSC            221.697             225.203            -3.506        18.849
FSNSC_ICE          0.333              22.218           -21.885         0.057
FSNSC_LAND       143.320             143.503            -0.183        11.498
FSNT             250.341             242.916             7.426        15.160
FSNTC            299.456             294.678             4.777        18.271
ICEAREA            1.332              18.691           -17.358         0.556
LHFLX            104.160              89.593            14.567        24.261
LWCF              21.681              23.549            -1.868         7.816
PRECT              3.584               3.060             0.524         1.324
PRECT_LAND         2.762               2.228             0.534         1.053
PRECT_OCEAN        3.933               3.548             0.385         1.440
PREH2O            40.795              24.633            16.162        18.195
PREH2O_OCEAN      46.039              29.436            16.603        19.940
PSI_200            0.003               0.007            -0.004         0.360
PS               986.888             985.302             1.586         2.811
PSL             1012.759            1011.759             1.001         2.335
QFLX               3.586               3.067             0.518         0.770
SHFLX             14.113              16.745            -2.633        10.899
SNOWHLND           7.620              11.881            -4.261        16.455
SST               26.940              20.494             6.446         6.575
STRESS_MAG         0.061               0.070            -0.009         0.023
SWCF             -49.114             -51.763             2.648        16.926
T_850            287.638             279.553             8.085         8.338
TGCLDLWP          43.384              38.992             4.392        20.530
TGCLDIWP          12.993              17.108            -4.116        14.353
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.093               0.090             0.003         0.035
AODDUST            0.010               0.013            -0.003         0.013
TREFHT           294.399             285.677             8.721         9.958
TS               295.063             286.468             8.595        10.011
TS_LAND          286.436             275.111            11.326        12.098
U_200             17.033              16.633             0.400         3.306
VT_850            -0.624              -0.790             0.166         2.010
Z3_500            58.199              56.292             1.907         1.929
