DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -9.859              -9.915             0.056        13.560
RESSURF          -11.464             -10.961            -0.503        18.729
SOLIN            330.417             330.417             0.000         0.000
AAM            1.269e+26           1.159e+26         1.101e+25      -999.000
CHI_200            0.006               0.008            -0.002         2.850
CLDHGH            37.434              37.888            -0.453         5.612
CLDLOW            35.829              41.700            -5.870        10.423
CLDMED            20.920              25.927            -5.007         8.847
CLDTOT            57.703              62.659            -4.956         9.042
EKE_850           22.684              26.166            -3.482         6.910
EP             1.924e-02           7.748e-03         1.149e-02         1.479
FLNS              46.488              55.312            -8.824        12.376
FLNSC             62.742              80.901           -18.158        20.118
FLNT             249.620             240.581             9.039        12.317
FLNTC            271.284             265.411             5.873         9.448
FSDS             176.193             176.874            -0.681        16.237
FSDSC            227.545             236.641            -9.097        10.493
FSNS             159.009             156.549             2.460        16.478
FSNSC            206.113             210.851            -4.738        17.566
FSNSC_ICE          0.749              42.231           -41.482         0.192
FSNSC_LAND       210.436             217.557            -7.121        10.542
FSNT             239.761             230.666             9.095        18.287
FSNTC            284.260             280.612             3.647        17.142
ICEAREA            1.607              20.090           -18.483         0.602
LHFLX            104.872              91.911            12.961        20.975
LWCF              21.665              24.830            -3.166         7.235
PRECT              3.593               3.147             0.446         1.421
PRECT_LAND         2.754               2.328             0.425         1.449
PRECT_OCEAN        3.955               3.632             0.323         1.424
PREH2O            44.779              27.169            17.610        19.474
PREH2O_OCEAN      47.287              30.427            16.860        20.464
PSI_200           -0.054              -0.050            -0.005         0.435
PS               987.279             985.551             1.728         2.924
PSL             1012.665            1011.360             1.305         2.672
QFLX               3.612               3.155             0.457         0.653
SHFLX             19.113              20.286            -1.173        10.199
SNOWHLND           7.061              10.213            -3.153        15.817
SST               26.545              20.220             6.325         6.474
STRESS_MAG         0.070               0.075            -0.005         0.020
SWCF             -44.499             -49.946             5.448        14.918
T_850            290.800             282.664             8.136         8.340
TGCLDLWP          44.659              45.188            -0.529        18.392
TGCLDIWP          13.381              17.370            -3.989        10.820
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.139               0.123             0.016         0.045
AODDUST            0.032               0.031             0.002         0.027
TREFHT           297.573             289.394             8.179         8.756
TS               298.227             290.174             8.053         8.760
TS_LAND          297.807             287.500            10.307        10.608
U_200             14.418              14.007             0.411         3.270
VT_850             0.902               1.098            -0.196         2.025
Z3_500            58.718              56.810             1.909         1.921
