DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.011               0.526            -0.515         5.550
RESSURF           -1.552              -1.313            -0.239         9.252
SOLIN            338.285             338.285             0.000         0.000
AAM            1.500e+26           1.508e+26        -7.457e+23      -999.000
CHI_200           -0.004              -0.005             0.001         0.734
CLDHGH            38.656              39.296            -0.640         4.343
CLDLOW            38.579              41.085            -2.505         4.993
CLDMED            24.200              26.919            -2.719         4.987
CLDTOT            60.631              63.080            -2.449         5.028
EKE_850           24.936              26.580            -1.644         3.785
EP             1.641e-02           1.480e-02         1.614e-03         0.860
FLNS              52.614              56.554            -3.940         6.346
FLNSC             74.046              81.705            -7.659         9.352
FLNT             240.968             236.557             4.411         7.555
FLNTC            264.549             261.436             3.113         5.200
FSDS             187.710             189.044            -1.334         9.166
FSDSC            241.804             245.921            -4.117         4.356
FSNS             164.787             163.904             0.883         8.492
FSNSC            213.939             215.410            -1.471         8.017
FSNSC_ICE         46.571              37.609             8.962        14.260
FSNSC_LAND       193.591             193.127             0.464         8.308
FSNT             240.978             237.083             3.896         8.599
FSNTC            286.453             284.182             2.271         7.816
ICEAREA           12.785              19.496            -6.711         0.298
LHFLX             95.215              89.068             6.147        11.234
LWCF              23.582              24.879            -1.298         4.768
PRECT              3.254               3.036             0.219         0.823
PRECT_LAND         2.375               2.185             0.189         0.566
PRECT_OCEAN        3.731               3.533             0.198         0.929
PREH2O            32.064              25.384             6.680         7.579
PREH2O_OCEAN      36.725              29.671             7.054         8.359
PSI_200           -0.014              -0.014             0.000         0.262
PS               986.031             985.375             0.655         1.485
PSL             1011.947            1011.505             0.442         1.318
QFLX               3.271               3.050             0.220         0.343
SHFLX             18.510              19.595            -1.085         5.689
SNOWHLND          10.587              12.135            -1.549         8.430
SST               23.563              20.472             3.092         3.184
STRESS_MAG         0.060               0.064            -0.003         0.013
SWCF             -45.475             -47.099             1.625         7.973
T_850            284.820             281.053             3.768         3.847
TGCLDLWP          40.033              38.346             1.687        10.338
TGCLDIWP          15.387              17.486            -2.099         6.279
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.108               0.102             0.006         0.019
AODDUST            0.027               0.026             0.000         0.010
TREFHT           291.483             287.572             3.911         4.256
TS               292.262             288.410             3.853         4.275
TS_LAND          286.165             281.425             4.741         4.933
U_200             17.281              17.409            -0.128         1.930
VT_850             0.097               0.099            -0.002         1.195
Z3_500            57.350              56.479             0.872         0.883
