DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.660               1.046             0.614         7.639
RESSURF            5.326               4.450             0.877         9.038
SOLIN            342.210             342.210             0.000         0.000
AAM            1.470e+26           1.411e+26         5.902e+24      -999.000
CHI_200            0.005               0.003             0.002         1.227
CLDHGH            38.149              38.169            -0.021         4.538
CLDLOW            40.010              42.737            -2.727         5.655
CLDMED            24.425              27.004            -2.579         4.334
CLDTOT            60.839              63.088            -2.249         5.213
EKE_850           24.533              26.314            -1.781         3.742
EP            -3.363e-02          -2.648e-02        -7.149e-03         0.727
FLNS              51.684              56.108            -4.424         6.779
FLNSC             74.082              81.967            -7.885         9.901
FLNT             241.941             238.038             3.903         6.918
FLNTC            264.789             261.744             3.045         5.626
FSDS             188.093             189.232            -1.138        10.752
FSDSC            244.841             249.261            -4.420         4.784
FSNS             166.788             165.405             1.383         9.645
FSNSC            218.850             220.285            -1.435        12.462
FSNSC_ICE         64.250              48.341            15.908        17.350
FSNSC_LAND       163.959             165.937            -1.978         3.080
FSNT             243.601             239.084             4.517         9.891
FSNTC            291.586             289.059             2.528        11.986
ICEAREA            8.171              20.396           -12.225         0.480
LHFLX             93.195              86.984             6.211        10.895
LWCF              22.848              23.706            -0.858         4.497
PRECT              3.241               3.009             0.232         0.717
PRECT_LAND         2.418               2.142             0.276         0.690
PRECT_OCEAN        3.625               3.513             0.112         0.733
PREH2O            32.403              25.387             7.016         7.820
PREH2O_OCEAN      36.197              29.564             6.633         8.406
PSI_200           -0.027              -0.027            -0.000         0.296
PS               986.064             985.376             0.688         1.412
PSL             1011.926            1011.469             0.457         1.249
QFLX               3.208               2.983             0.225         0.349
SHFLX             16.583              17.863            -1.280         5.849
SNOWHLND           9.295              10.361            -1.066         8.547
SST               23.284              20.187             3.097         3.177
STRESS_MAG         0.067               0.071            -0.005         0.010
SWCF             -47.986             -49.975             1.989         9.824
T_850            284.781             280.952             3.830         3.934
TGCLDLWP          42.818              41.134             1.684        11.840
TGCLDIWP          14.509              16.077            -1.567         6.820
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.099             0.006         0.020
AODDUST            0.016               0.017            -0.001         0.009
TREFHT           291.673             287.596             4.077         4.607
TS               292.416             288.396             4.019         4.640
TS_LAND          286.816             281.893             4.923         5.174
U_200             16.656              16.321             0.335         2.188
VT_850             0.052               0.161            -0.110         1.292
Z3_500            57.370              56.494             0.875         0.886
