DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -28.742             -28.548            -0.193         3.809
RESSURF          -11.524             -11.554             0.030         2.612
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.001              -0.040             0.041         0.358
CLDHGH            36.215              36.053             0.162         2.001
CLDLOW            41.148              44.329            -3.181         4.618
CLDMED            26.590              29.759            -3.170         3.657
CLDTOT            60.380              62.747            -2.367         3.434
EKE_850           32.020              33.858            -1.838         2.611
EP             2.355e-02           1.555e-02         8.002e-03         0.320
FLNS              58.707              61.246            -2.539         4.188
FLNSC             83.039              88.684            -5.645         7.615
FLNT             237.546             231.753             5.793         6.465
FLNTC            257.170             251.806             5.363         6.761
FSDS             167.647             168.512            -0.865         5.836
FSDSC            216.627             220.781            -4.155         4.244
FSNS             141.118             138.229             2.888         6.192
FSNSC            184.492             184.177             0.315         7.404
FSNSC_ICE         57.486              49.998             7.488        24.305
FSNSC_LAND       168.998             168.848             0.149         4.611
FSNT             208.804             203.204             5.600         7.435
FSNTC            248.641             244.734             3.907         7.855
ICEAREA            5.777              10.181            -4.404         0.248
LHFLX             70.877              64.188             6.689         8.738
LWCF              19.624              20.054            -0.430         2.455
PRECT              2.397               2.164             0.233         0.391
PRECT_LAND         1.911               1.690             0.221         0.403
PRECT_OCEAN        3.101               2.919             0.182         0.377
PREH2O            22.766              17.397             5.368         5.606
PREH2O_OCEAN      29.357              23.413             5.944         6.621
PSI_200           -7.418              -7.311            -0.106         0.152
PS               976.909             976.517             0.392         1.104
PSL             1016.532            1016.548            -0.016         0.789
QFLX               2.421               2.180             0.241         0.302
SHFLX             23.058              24.349            -1.292         4.298
SNOWHLND           2.842               4.725            -1.882        10.060
SST               21.334              17.960             3.374         3.461
STRESS_MAG         0.046               0.049            -0.002         0.005
SWCF             -39.837             -41.530             1.693         5.460
T_850            281.370             276.944             4.427         4.473
TGCLDLWP          38.266              36.030             2.236         8.046
TGCLDIWP          15.166              17.043            -1.876         5.657
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.091               0.086             0.005         0.011
AODDUST            0.033               0.033            -0.001         0.008
TREFHT           287.038             282.099             4.940         5.338
TS               287.700             282.788             4.913         5.376
TS_LAND          284.676             279.310             5.367         5.522
U_200             19.945              19.595             0.350         0.974
VT_850             0.210               0.266            -0.056         0.626
Z3_500            57.012              56.085             0.927         0.934
