DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -114.094            -108.913            -5.181         8.248
RESSURF          -83.633             -80.332            -3.301        13.074
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.662               3.987            -0.325         0.478
CLDHGH            35.674              35.447             0.228         3.562
CLDLOW            46.671              49.820            -3.149         5.915
CLDMED            32.589              35.772            -3.183         4.712
CLDTOT            64.025              66.783            -2.759         5.034
EKE_850           39.164              40.487            -1.323         3.536
EP             1.665e-01           1.708e-01        -4.347e-03         0.495
FLNS              58.616              59.934            -1.318         5.194
FLNSC             84.993              87.872            -2.879         8.833
FLNT             223.058             215.022             8.035         9.453
FLNTC            240.869             233.091             7.778        10.425
FSDS              89.718              90.160            -0.443         5.243
FSDSC            114.019             116.085            -2.066         2.420
FSNS              74.173              72.699             1.475         5.110
FSNSC             94.920              94.629             0.292         5.776
FSNSC_ICE          0.192               1.144            -0.952         0.019
FSNSC_LAND        80.494              77.987             2.507         8.299
FSNT             108.964             106.110             2.854         5.420
FSNTC            128.649             126.565             2.083         5.875
ICEAREA            8.520              13.132            -4.613         0.285
LHFLX             79.129              70.492             8.638        14.029
LWCF              17.811              18.069            -0.257         3.887
PRECT              2.496               2.180             0.316         0.572
PRECT_LAND         1.283               1.073             0.210         0.430
PRECT_OCEAN        4.027               3.703             0.325         0.698
PREH2O            15.279              11.498             3.781         4.241
PREH2O_OCEAN      22.563              17.996             4.567         5.508
PSI_200           -8.783              -8.677            -0.106         0.230
PS               976.534             976.288             0.246         1.484
PSL             1017.497            1017.806            -0.310         1.258
QFLX               2.663               2.351             0.312         0.476
SHFLX             20.061              22.606            -2.545         9.348
SNOWHLND           4.156               6.199            -2.042         9.970
SST               19.523              16.183             3.340         3.427
STRESS_MAG         0.077               0.081            -0.004         0.013
SWCF             -19.684             -20.456             0.771         4.506
T_850            274.526             269.837             4.689         4.861
TGCLDLWP          27.482              23.668             3.813        11.076
TGCLDIWP          15.925              19.509            -3.584        12.739
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.060               0.057             0.004         0.011
AODDUST            0.010               0.011            -0.001         0.006
TREFHT           278.771             272.841             5.930         6.966
TS               279.562             273.674             5.888         7.115
TS_LAND          270.578             264.264             6.315         6.767
U_200             26.400              25.942             0.457         1.996
VT_850             0.324               0.394            -0.070         1.420
Z3_500            55.755              54.787             0.967         0.990
