DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            59.514              53.858             5.655        14.100
RESSURF           64.487              59.620             4.867        16.198
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.745              -4.283             0.538         1.276
CLDHGH            35.726              35.586             0.140         2.988
CLDLOW            38.492              41.856            -3.364         5.964
CLDMED            19.794              22.660            -2.866         4.245
CLDTOT            58.216              60.258            -2.042         4.266
EKE_850           17.704              19.015            -1.311         2.814
EP            -2.126e-01          -1.716e-01        -4.093e-02         0.629
FLNS              55.420              58.635            -3.214         5.696
FLNSC             77.193              85.732            -8.539         9.184
FLNT             253.431             249.307             4.124         5.342
FLNTC            274.330             270.946             3.384         4.143
FSDS             241.896             242.004            -0.108        12.284
FSDSC            319.109             325.559            -6.451         6.911
FSNS             209.546             203.746             5.799        15.607
FSNSC            279.303             278.519             0.784        19.544
FSNSC_ICE       -999.000             129.077          -999.000      -999.000
FSNSC_LAND       260.164             263.714            -3.551         6.888
FSNT             312.944             303.165             9.779        16.824
FSNTC            376.606             370.344             6.262        19.763
ICEAREA            2.785               7.395            -4.609         0.299
LHFLX             62.712              58.817             3.895         7.753
LWCF              20.900              21.639            -0.739         2.582
PRECT              2.405               2.220             0.185         0.638
PRECT_LAND         2.741               2.513             0.228         0.832
PRECT_OCEAN        2.150               2.088             0.061         0.392
PREH2O            32.445              24.961             7.485         7.764
PREH2O_OCEAN      36.654              29.606             7.048         8.607
PSI_200           -5.105              -5.061            -0.044         0.220
PS               976.534             976.263             0.270         1.092
PSL             1014.894            1014.915            -0.021         0.962
QFLX               2.193               2.048             0.144         0.243
SHFLX             26.926              26.675             0.252         3.925
SNOWHLND           1.278               2.883            -1.605        10.775
SST               22.635              19.205             3.430         3.546
STRESS_MAG         0.044               0.048            -0.004         0.007
SWCF             -63.662             -67.179             3.517        11.270
T_850            289.324             284.870             4.454         4.481
TGCLDLWP          52.382              53.604            -1.222        10.159
TGCLDIWP          15.432              15.695            -0.264         3.529
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.126               0.119             0.007         0.022
AODDUST            0.054               0.054             0.000         0.019
TREFHT           295.264             291.088             4.176         4.314
TS               295.750             291.600             4.150         4.318
TS_LAND          298.595             293.740             4.854         4.948
U_200             11.808              11.794             0.014         1.752
VT_850             0.086               0.105            -0.020         1.208
Z3_500            58.420              57.515             0.905         0.911
