DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -77.403             -73.112            -4.291         9.340
RESSURF          -43.851             -41.570            -2.281        15.030
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.051              -1.707             0.656         1.656
CLDHGH            36.640              35.924             0.716         4.357
CLDLOW            35.941              43.228            -7.286        11.433
CLDMED            22.165              29.698            -7.532         9.282
CLDTOT            55.864              61.129            -5.265         8.473
EKE_850           24.676              30.310            -5.635         7.910
EP            -3.594e-02           2.724e-02        -6.318e-02         0.796
FLNS              53.105              62.037            -8.932        12.571
FLNSC             71.610              88.970           -17.360        20.699
FLNT             245.825             235.129            10.696        12.796
FLNTC            265.036             254.532            10.504        13.934
FSDS             128.111             129.259            -1.148         9.323
FSDSC            160.915             168.342            -7.427         7.869
FSNS             111.764             111.091             0.673         7.640
FSNSC            140.805             145.529            -4.724         6.494
FSNSC_ICE       -999.000               9.642          -999.000      -999.000
FSNSC_LAND       128.765             132.612            -3.848         5.981
FSNT             168.422             162.017             6.406         9.103
FSNTC            196.640             194.051             2.589         4.057
ICEAREA            0.003               6.425            -6.422         0.355
LHFLX             85.531              70.045            15.486        22.529
LWCF              19.211              19.403            -0.192         5.311
PRECT              2.989               2.354             0.635         0.977
PRECT_LAND         2.230               1.605             0.625         0.994
PRECT_OCEAN        3.697               3.295             0.402         0.915
PREH2O            34.835              18.510            16.325        17.114
PREH2O_OCEAN      41.900              25.069            16.831        19.811
PSI_200           -6.873              -6.935             0.062         0.316
PS               977.383             976.647             0.736         2.543
PSL             1016.474            1016.637            -0.162         2.003
QFLX               2.953               2.381             0.572         0.769
SHFLX             16.978              20.579            -3.600         8.204
SNOWHLND           0.238               3.130            -2.892        14.986
SST               27.159              19.180             7.979         8.188
STRESS_MAG         0.041               0.054            -0.013         0.018
SWCF             -28.218             -32.035             3.817         8.432
T_850            287.494             277.641             9.852        10.019
TGCLDLWP          40.622              34.623             5.999        21.497
TGCLDIWP          11.677              14.812            -3.135         9.422
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.080               0.075             0.005         0.026
AODDUST            0.024               0.022             0.001         0.013
TREFHT           294.579             283.635            10.944        11.843
TS               295.248             284.384            10.864        11.876
TS_LAND          291.535             279.612            11.924        12.279
U_200             18.503              19.191            -0.688         2.329
VT_850            -0.029               0.097            -0.126         1.493
Z3_500            58.395              56.285             2.110         2.131
