DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -22.840             -23.113             0.274         6.967
RESSURF           -5.552              -5.368            -0.184         3.953
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.576               0.633            -0.057         0.488
CLDHGH            35.193              35.542            -0.349         3.384
CLDLOW            44.410              51.994            -7.584         9.832
CLDMED            24.334              31.450            -7.117         8.441
CLDTOT            60.799              67.167            -6.368         8.369
EKE_850           35.410              41.467            -6.057         7.190
EP             1.869e-01           1.232e-01         6.371e-02         0.645
FLNS              47.355              54.291            -6.936         9.579
FLNSC             71.935              87.907           -15.972        17.956
FLNT             236.228             226.715             9.513        10.450
FLNTC            255.021             247.516             7.505         9.369
FSDS             164.969             166.210            -1.241        14.905
FSDSC            214.887             223.529            -8.642         8.779
FSNS             144.920             140.646             4.274        10.254
FSNSC            190.427             192.409            -1.982        16.067
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       116.709             120.015            -3.306         5.552
FSNT             213.388             203.601             9.787        12.930
FSNTC            255.142             249.950             5.191        15.624
ICEAREA            1.083               9.417            -8.334         0.533
LHFLX             92.504              77.015            15.490        17.448
LWCF              18.793              20.801            -2.008         5.154
PRECT              2.966               2.481             0.484         0.762
PRECT_LAND         1.832               1.347             0.485         0.720
PRECT_OCEAN        3.210               2.820             0.391         0.701
PREH2O            28.459              17.047            11.413        12.197
PREH2O_OCEAN      30.294              19.393            10.900        12.870
PSI_200            8.125               7.914             0.212         0.319
PS               985.170             982.712             2.459         3.206
PSL             1009.159            1007.137             2.022         2.569
QFLX               3.153               2.605             0.548         0.602
SHFLX             10.613              14.709            -4.096         7.562
SNOWHLND          36.931              47.258           -10.327        28.008
SST               21.471              14.700             6.771         6.843
STRESS_MAG         0.080               0.085            -0.006         0.016
SWCF             -41.754             -46.349             4.595        14.530
T_850            283.074             275.094             7.979         8.067
TGCLDLWP          40.280              38.099             2.181        20.175
TGCLDIWP          10.612              16.125            -5.513        10.283
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.110               0.081             0.028         0.040
AODDUST            0.002               0.002            -0.000         0.003
TREFHT           289.037             280.713             8.324         8.728
TS               289.575             281.416             8.159         8.641
TS_LAND          273.834             263.104            10.731        11.004
U_200             27.094              26.022             1.072         2.326
VT_850            -0.139              -0.282             0.143         1.174
Z3_500            56.775              54.842             1.932         1.939
