DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            83.352              78.118             5.234        15.932
RESSURF           89.861              86.290             3.571        22.531
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.786              -3.357             1.571         1.736
CLDHGH            34.587              34.876            -0.290         4.989
CLDLOW            46.996              51.952            -4.956         8.585
CLDMED            21.252              27.612            -6.360         8.521
CLDTOT            63.032              66.838            -3.806         7.444
EKE_850           23.329              27.464            -4.135         5.923
EP             5.124e-03           2.555e-02        -2.042e-02         0.914
FLNS              41.542              51.028            -9.486        12.194
FLNSC             66.010              84.762           -18.753        19.945
FLNT             243.486             236.297             7.189         9.442
FLNTC            261.917             256.118             5.799         7.515
FSDS             257.059             263.449            -6.390        28.110
FSDSC            340.195             353.277           -13.082        13.514
FSNS             221.216             217.828             3.387        18.328
FSNSC            298.101             300.292            -2.192        30.589
FSNSC_ICE       -999.000             115.631          -999.000      -999.000
FSNSC_LAND       174.288             177.898            -3.609        10.016
FSNT             326.838             314.415            12.423        20.786
FSNTC            395.932             386.802             9.129        30.550
ICEAREA            0.072               5.558            -5.486         0.463
LHFLX             80.791              68.841            11.950        18.218
LWCF              18.431              19.821            -1.389         4.915
PRECT              2.777               2.327             0.450         0.904
PRECT_LAND         2.784               2.171             0.612         0.956
PRECT_OCEAN        2.777               2.420             0.357         0.894
PREH2O            34.856              20.749            14.107        15.328
PREH2O_OCEAN      36.151              22.347            13.805        15.622
PSI_200            7.477               7.287             0.190         0.385
PS               985.580             983.036             2.544         3.598
PSL             1009.104            1006.991             2.113         3.094
QFLX               2.782               2.353             0.430         0.582
SHFLX              9.022              11.670            -2.647         5.737
SNOWHLND          35.618              47.188           -11.570        30.495
SST               22.621              15.706             6.916         7.003
STRESS_MAG         0.067               0.075            -0.008         0.027
SWCF             -69.094             -72.387             3.293        25.079
T_850            285.861             277.912             7.949         8.024
TGCLDLWP          46.851              43.443             3.407        22.435
TGCLDIWP           9.720              12.640            -2.920         6.968
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.081             0.017         0.034
AODDUST            0.002               0.003            -0.001         0.005
TREFHT           292.048             284.383             7.665         7.843
TS               292.453             284.924             7.529         7.739
TS_LAND          282.804             272.952             9.852        10.102
U_200             21.834              21.290             0.544         3.216
VT_850            -0.078              -0.142             0.064         1.938
Z3_500            57.460              55.508             1.952         1.968
