DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -119.512            -116.368            -3.145         4.606
RESSURF          -92.742             -89.618            -3.123        16.025
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.257               4.934            -0.676         0.869
CLDHGH            35.258              35.173             0.085         2.790
CLDLOW            46.980              52.392            -5.412         6.968
CLDMED            31.695              35.343            -3.648         5.561
CLDTOT            62.821              67.519            -4.698         6.214
EKE_850           47.811              52.647            -4.835         6.355
EP             2.399e-01           1.748e-01         6.506e-02         0.437
FLNS              55.671              57.054            -1.383         4.462
FLNSC             85.439              90.994            -5.555         8.724
FLNT             224.182             217.953             6.229         6.986
FLNTC            244.840             239.926             4.915         6.738
FSDS              78.518              76.938             1.580         4.090
FSDSC            102.233             104.344            -2.111         2.322
FSNS              71.403              69.540             1.863         3.590
FSNSC             92.100              93.408            -1.308         2.635
FSNSC_ICE          1.156               2.154            -0.998         0.196
FSNSC_LAND        68.453              69.550            -1.097         1.840
FSNT             104.670             101.586             3.084         4.411
FSNTC            124.634             124.239             0.395         1.850
ICEAREA            6.029              12.695            -6.667         0.449
LHFLX             94.138              84.735             9.404        12.768
LWCF              20.658              21.972            -1.314         4.323
PRECT              2.945               2.675             0.270         0.521
PRECT_LAND         0.918               0.774             0.144         0.324
PRECT_OCEAN        3.426               3.217             0.209         0.503
PREH2O            17.600              13.648             3.953         4.246
PREH2O_OCEAN      19.943              16.123             3.821         4.632
PSI_200            7.941               7.851             0.089         0.243
PS               983.702             982.781             0.922         2.081
PSL             1008.261            1007.579             0.682         2.031
QFLX               3.185               2.850             0.335         0.441
SHFLX             14.335              17.370            -3.035         9.801
SNOWHLND          45.617              47.293            -1.677        10.138
SST               16.636              13.265             3.371         3.425
STRESS_MAG         0.097               0.095             0.002         0.021
SWCF             -19.964             -22.653             2.689         4.471
T_850            276.275             272.369             3.906         3.970
TGCLDLWP          34.784              32.717             2.067        12.912
TGCLDIWP          15.281              20.435            -5.154        11.686
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.079             0.017         0.024
AODDUST            0.002               0.002            -0.000         0.001
TREFHT           282.015             277.472             4.543         5.079
TS               282.765             278.321             4.444         5.180
TS_LAND          260.455             255.268             5.187         5.351
U_200             30.871              30.057             0.814         1.916
VT_850            -0.308              -0.430             0.122         1.178
Z3_500            55.147              54.241             0.905         0.918
