DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -73.085             -71.671            -1.414         4.414
RESSURF          -48.603             -46.899            -1.704        10.415
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.073              -1.189             0.116         0.474
CLDHGH            36.101              36.222            -0.121         2.971
CLDLOW            46.690              50.590            -3.900         6.015
CLDMED            27.574              31.374            -3.800         4.910
CLDTOT            63.357              66.579            -3.222         5.120
EKE_850           36.862              39.528            -2.666         4.098
EP             1.453e-01           1.206e-01         2.471e-02         0.485
FLNS              50.313              53.298            -2.986         5.676
FLNSC             78.483              85.924            -7.442         9.494
FLNT             232.851             227.657             5.194         6.291
FLNTC            253.434             249.217             4.217         5.939
FSDS             119.716             118.603             1.114         6.045
FSDSC            159.434             162.528            -3.093         3.220
FSNS             108.590             106.815             1.775         5.477
FSNSC            144.230             146.190            -1.960         4.377
FSNSC_ICE         21.315              19.031             2.285        12.743
FSNSC_LAND        92.727              94.265            -1.538         2.216
FSNT             159.766             155.986             3.780         6.175
FSNTC            193.244             192.454             0.789         3.555
ICEAREA            1.089               5.413            -4.324         0.430
LHFLX             94.548              85.939             8.609        11.123
LWCF              20.584              21.561            -0.977         3.294
PRECT              3.077               2.794             0.282         0.538
PRECT_LAND         1.536               1.313             0.223         0.461
PRECT_OCEAN        3.412               3.172             0.240         0.532
PREH2O            24.308              18.829             5.479         5.930
PREH2O_OCEAN      26.168              20.900             5.268         6.233
PSI_200            8.367               8.327             0.040         0.149
PS               983.642             982.792             0.850         1.656
PSL             1007.988            1007.349             0.639         1.350
QFLX               3.222               2.915             0.307         0.370
SHFLX             12.332              14.476            -2.144         6.049
SNOWHLND          44.476              47.140            -2.664        13.305
SST               18.931              15.461             3.470         3.523
STRESS_MAG         0.080               0.085            -0.005         0.014
SWCF             -33.478             -36.468             2.991         6.099
T_850            280.185             276.213             3.971         4.025
TGCLDLWP          39.656              38.843             0.812        12.994
TGCLDIWP          12.921              16.264            -3.343         7.132
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.095               0.084             0.011         0.019
AODDUST            0.001               0.001            -0.000         0.002
TREFHT           286.085             281.778             4.307         4.748
TS               286.804             282.568             4.236         4.789
TS_LAND          266.560             261.077             5.483         5.728
U_200             25.130              24.930             0.201         1.410
VT_850            -0.175              -0.231             0.057         1.220
Z3_500            56.017              55.082             0.935         0.945
