DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            20.341              17.513             2.828        10.877
RESSURF           30.836              29.091             1.745         9.417
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.024               2.267            -0.243         1.156
CLDHGH            35.700              35.552             0.148         3.821
CLDLOW            48.629              53.227            -4.598         6.447
CLDMED            28.429              31.494            -3.066         4.476
CLDTOT            64.128              67.734            -3.606         5.574
EKE_850           37.748              39.313            -1.565         3.507
EP             2.144e-01           1.638e-01         5.057e-02         0.451
FLNS              53.330              55.694            -2.364         5.156
FLNSC             83.671              89.921            -6.250         7.561
FLNT             229.717             224.736             4.981         5.951
FLNTC            248.753             244.556             4.198         5.118
FSDS             204.356             205.769            -1.413        15.391
FSDSC            268.712             274.084            -5.373         5.820
FSNS             173.176             168.276             4.900        13.058
FSNSC            231.565             229.813             1.753        21.296
FSNSC_ICE         64.993              62.803             2.190        17.236
FSNSC_LAND       136.201             138.523            -2.321         3.044
FSNT             250.058             242.249             7.809        13.765
FSNTC            302.050             296.292             5.758        21.041
ICEAREA            8.044              14.109            -6.065         0.382
LHFLX             75.849              68.399             7.450        10.350
LWCF              19.037              19.820            -0.783         3.451
PRECT              2.349               2.131             0.217         0.465
PRECT_LAND         1.337               1.179             0.158         0.392
PRECT_OCEAN        2.609               2.424             0.185         0.462
PREH2O            19.151              14.917             4.234         4.584
PREH2O_OCEAN      21.318              17.237             4.081         4.860
PSI_200            8.288               8.137             0.151         0.289
PS               983.295             982.172             1.123         1.978
PSL             1007.497            1006.548             0.949         1.671
QFLX               2.563               2.295             0.268         0.357
SHFLX             13.161              15.092            -1.931         5.838
SNOWHLND          46.556              47.469            -0.913         7.364
SST               16.522              13.126             3.397         3.470
STRESS_MAG         0.094               0.100            -0.006         0.012
SWCF             -51.992             -54.043             2.051        14.190
T_850            277.767             273.720             4.047         4.124
TGCLDLWP          38.940              37.290             1.649        13.236
TGCLDIWP          12.337              15.574            -3.237         7.975
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.098               0.081             0.017         0.022
AODDUST            0.003               0.003            -0.000         0.003
TREFHT           283.353             279.130             4.223         4.471
TS               283.900             279.754             4.145         4.450
TS_LAND          268.493             263.106             5.387         5.551
U_200             28.510              27.790             0.720         2.451
VT_850            -0.248              -0.308             0.059         1.175
Z3_500            55.434              54.506             0.927         0.942
