DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            46.525              46.366             0.159         3.377
RESSURF           15.145              14.898             0.247         2.806
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.473              -0.542             0.069         0.749
CLDHGH            42.671              43.248            -0.577         3.307
CLDLOW            30.793              31.757            -0.965         2.707
CLDMED            18.821              20.152            -1.331         3.300
CLDTOT            58.998              60.278            -1.280         2.962
EKE_850           14.602              14.997            -0.395         2.017
EP            -1.664e-01          -1.250e-01        -4.144e-02         0.727
FLNS              45.340              51.738            -6.397         7.083
FLNSC             58.045              68.304           -10.259        10.475
FLNT             254.943             252.668             2.275         4.979
FLNTC            284.031             283.803             0.229         1.832
FSDS             222.250             223.624            -1.375         6.329
FSDSC            288.040             292.221            -4.180         4.287
FSNS             205.809             207.051            -1.242         5.884
FSNSC            267.712             271.522            -3.809         3.944
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       240.050             242.978            -2.928         3.352
FSNT             301.468             299.034             2.434         5.650
FSNTC            359.640             359.156             0.485         0.733
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            128.521             123.482             5.039         8.397
LWCF              29.088              31.134            -2.046         3.952
PRECT              4.629               4.407             0.221         0.678
PRECT_LAND         3.958               3.790             0.168         0.462
PRECT_OCEAN        4.823               4.582             0.241         0.734
PREH2O            50.877              40.959             9.918        10.188
PREH2O_OCEAN      53.258              42.872            10.386        10.646
PSI_200           -0.614              -0.603            -0.011         0.101
PS               996.578             995.885             0.693         0.790
PSL             1011.575            1010.954             0.622         0.701
QFLX               4.462               4.283             0.180         0.241
SHFLX             16.803              16.933            -0.130         4.034
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.721              27.120             2.601         2.614
STRESS_MAG         0.049               0.054            -0.005         0.008
SWCF             -58.172             -60.122             1.949         5.621
T_850            292.883             289.727             3.156         3.180
TGCLDLWP          48.003              48.078            -0.075         5.730
TGCLDIWP          16.880              17.778            -0.898         3.374
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.137               0.139            -0.002         0.016
AODDUST            0.028               0.029            -0.002         0.010
TREFHT           301.699             298.781             2.918         2.954
TS               302.616             299.773             2.843         2.896
TS_LAND          301.658             297.977             3.682         3.714
U_200              3.766               3.897            -0.131         0.844
VT_850             0.283               0.372            -0.090         0.670
Z3_500            59.234              58.443             0.791         0.791
