DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            51.000              50.466             0.534         7.518
RESSURF           14.638              15.188            -0.550        12.166
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.223              -0.597             0.374         1.975
CLDHGH            43.072              44.460            -1.388         8.664
CLDLOW            29.124              31.084            -1.960         6.474
CLDMED            18.732              20.564            -1.832         6.737
CLDTOT            57.913              60.078            -2.165         7.875
EKE_850            9.529              10.474            -0.945         2.658
EP            -1.762e-01          -1.572e-01        -1.896e-02         1.906
FLNS              38.980              52.946           -13.966        15.443
FLNSC             47.696              69.293           -21.598        22.168
FLNT             255.354             251.572             3.782        12.047
FLNTC            283.322             283.457            -0.135         4.558
FSDS             222.621             226.546            -3.925        14.974
FSDSC            287.666             296.399            -8.733         9.025
FSNS             206.357             209.843            -3.486        13.863
FSNSC            267.526             275.434            -7.908         8.234
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       240.514             247.319            -6.805         7.441
FSNT             306.354             302.038             4.316        12.771
FSNTC            364.807             363.472             1.335         2.034
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            137.213             125.673            11.540        22.603
LWCF              27.968              31.885            -3.917         9.844
PRECT              4.940               4.520             0.420         1.689
PRECT_LAND         4.878               4.383             0.495         1.323
PRECT_OCEAN        4.939               4.532             0.406         1.793
PREH2O            63.584              40.040            23.544        24.630
PREH2O_OCEAN      66.394              42.010            24.383        25.377
PSI_200            1.202               1.279            -0.077         0.277
PS               997.000             995.514             1.486         1.784
PSL             1011.933            1010.600             1.333         1.621
QFLX               4.764               4.363             0.401         0.624
SHFLX             15.526              16.035            -0.510         8.453
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.631              27.096             5.535         5.591
STRESS_MAG         0.049               0.059            -0.010         0.021
SWCF             -58.453             -61.434             2.981        13.081
T_850            295.968             289.293             6.675         6.747
TGCLDLWP          50.071              48.835             1.236        15.178
TGCLDIWP          16.419              18.980            -2.561         8.732
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.116               0.128            -0.012         0.044
AODDUST            0.019               0.024            -0.004         0.017
TREFHT           304.741             298.470             6.271         6.390
TS               305.550             299.447             6.103         6.272
TS_LAND          304.768             296.710             8.058         8.204
U_200              4.194               3.990             0.204         3.037
VT_850            -1.823              -2.360             0.537         1.890
Z3_500            60.063              58.364             1.699         1.700
