DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 50-59)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 31-40)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            28.824              28.724             0.100         4.099
RESSURF           -3.457              -3.648             0.192         5.791
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.437              -0.565             0.128         1.745
CLDHGH            41.927              42.430            -0.503         4.564
CLDLOW            30.951              31.879            -0.928         3.093
CLDMED            18.940              20.361            -1.421         4.851
CLDTOT            59.037              60.433            -1.396         4.058
EKE_850           10.108               9.618             0.490         2.322
EP             1.146e-02           1.892e-02        -7.459e-03         1.116
FLNS              44.560              50.728            -6.168         6.913
FLNSC             57.387              67.389           -10.002        10.214
FLNT             255.846             253.166             2.680         6.986
FLNTC            283.825             283.473             0.352         2.480
FSDS             207.588             208.384            -0.796         8.363
FSDSC            271.945             275.913            -3.968         4.138
FSNS             191.904             192.589            -0.686         7.857
FSNSC            252.300             255.913            -3.613         3.782
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       226.587             229.550            -2.962         3.520
FSNT             284.670             281.889             2.780         7.716
FSNTC            341.395             340.943             0.452         0.777
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            134.038             128.368             5.670        11.324
LWCF              27.979              30.307            -2.328         5.582
PRECT              4.618               4.413             0.204         1.014
PRECT_LAND         3.165               3.015             0.150         0.495
PRECT_OCEAN        5.062               4.835             0.228         1.132
PREH2O            51.088              41.410             9.678        10.123
PREH2O_OCEAN      53.681              43.576            10.105        10.517
PSI_200           -2.712              -2.666            -0.046         0.174
PS               997.353             996.466             0.887         0.962
PSL             1012.382            1011.565             0.817         0.878
QFLX               4.629               4.432             0.197         0.300
SHFLX             16.762              17.142            -0.379         3.535
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.558              27.014             2.544         2.561
STRESS_MAG         0.067               0.072            -0.006         0.010
SWCF             -56.726             -59.054             2.329         7.802
T_850            292.673             289.587             3.086         3.110
TGCLDLWP          47.965              48.859            -0.894         7.367
TGCLDIWP          15.190              16.112            -0.922         4.331
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.163               0.164            -0.002         0.021
AODDUST            0.035               0.035            -0.000         0.015
TREFHT           301.529             298.653             2.876         2.914
TS               302.405             299.613             2.791         2.847
TS_LAND          301.225             297.599             3.626         3.658
U_200              1.354               1.481            -0.127         1.432
VT_850             2.871               3.250            -0.378         1.109
Z3_500            59.289              58.496             0.793         0.793
