DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            54.229              53.611             0.618         5.145
RESSURF           25.800              24.317             1.484         6.746
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.374              -0.370            -0.004         1.173
CLDHGH            41.881              42.293            -0.413         5.614
CLDLOW            31.848              33.013            -1.165         4.116
CLDMED            19.132              20.383            -1.251         3.827
CLDTOT            59.468              60.712            -1.244         4.866
EKE_850           10.974              11.653            -0.679         2.501
EP            -3.003e-01          -2.416e-01        -5.866e-02         1.078
FLNS              44.599              51.240            -6.641         7.987
FLNSC             57.996              68.725           -10.729        11.227
FLNT             254.280             252.317             1.964         7.327
FLNTC            283.610             283.529             0.081         2.633
FSDS             227.262             228.817            -1.556         9.252
FSDSC            295.722             300.408            -4.685         4.860
FSNS             210.779             212.132            -1.353         8.502
FSNSC            275.332             279.579            -4.246         4.466
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.789             250.099            -3.310         3.653
FSNT             308.509             305.928             2.581         7.931
FSNTC            368.901             368.505             0.396         1.047
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            122.741             118.822             3.919        11.544
LWCF              29.330              31.212            -1.882         5.685
PRECT              4.581               4.379             0.202         0.958
PRECT_LAND         4.070               3.813             0.258         0.798
PRECT_OCEAN        4.725               4.543             0.182         1.002
PREH2O            51.009              40.782            10.227        10.596
PREH2O_OCEAN      53.053              42.447            10.606        10.941
PSI_200           -1.304              -1.200            -0.104         0.264
PS               996.874             996.194             0.680         0.871
PSL             1011.850            1011.245             0.605         0.801
QFLX               4.280               4.137             0.143         0.306
SHFLX             17.638              17.753            -0.115         5.523
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.394              26.805             2.589         2.616
STRESS_MAG         0.053               0.056            -0.003         0.010
SWCF             -60.392             -62.577             2.186         8.107
T_850            293.014             289.765             3.249         3.309
TGCLDLWP          50.211              50.253            -0.042         8.689
TGCLDIWP          17.426              18.132            -0.706         5.153
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.135               0.132             0.003         0.024
AODDUST            0.022               0.023            -0.001         0.007
TREFHT           301.656             298.695             2.961         3.016
TS               302.575             299.708             2.867         2.949
TS_LAND          302.497             298.708             3.789         3.863
U_200              2.850               3.199            -0.349         1.976
VT_850             0.316               0.655            -0.338         1.160
Z3_500            59.233              58.441             0.792         0.792
