DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -0.054              -0.108             0.054         6.530
RESSURF           -0.055              -0.109             0.055         4.750
SOLIN            340.348             340.348             0.000         0.000
AAM            1.457e+26           1.389e+26         6.741e+24      -999.000
CHI_200           -0.001              -0.002             0.001         0.980
CLDHGH            37.919              38.448            -0.529         4.648
CLDLOW            37.078              42.433            -5.355         8.553
CLDMED            21.814              26.857            -5.044         7.555
CLDTOT            58.810              63.362            -4.552         7.229
EKE_850           25.693              29.506            -3.813         6.000
EP            -1.253e-04          -2.917e-05        -9.614e-05         1.049
FLNS              46.300              55.639            -9.338        11.885
FLNSC             63.786              81.263           -17.477        19.543
FLNT             246.099             237.367             8.732        11.491
FLNTC            267.889             261.621             6.268        10.151
FSDS             184.836             187.421            -2.585        13.184
FSDSC            238.072             247.197            -9.125         9.276
FSNS             165.477             163.394             2.083        11.491
FSNSC            214.382             217.871            -3.489        14.112
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       177.200             180.009            -2.808         7.783
FSNT             246.045             237.259             8.786        13.250
FSNTC            291.884             287.008             4.875        13.453
ICEAREA            2.035              20.125           -18.090         0.534
LHFLX            102.641              89.258            13.383        18.088
LWCF              21.790              24.254            -2.464         6.089
PRECT              3.536               3.059             0.477         1.042
PRECT_LAND         2.731               2.241             0.490         0.855
PRECT_OCEAN        3.883               3.555             0.328         1.113
PREH2O            42.418              25.542            16.876        18.256
PREH2O_OCEAN      46.337              29.801            16.537        19.813
PSI_200           -0.024              -0.021            -0.003         0.215
PS               987.047             985.391             1.656         2.613
PSL             1012.687            1011.512             1.175         2.070
QFLX               3.536               3.059             0.477         0.585
SHFLX             16.590              18.607            -2.017         8.098
SNOWHLND           7.465              11.148            -3.683        15.422
SST               26.909              20.495             6.414         6.536
STRESS_MAG         0.057               0.064            -0.008         0.014
SWCF             -45.838             -49.749             3.910        12.126
T_850            289.144             280.988             8.155         8.348
TGCLDLWP          43.281              40.938             2.343        16.024
TGCLDIWP          13.117              17.100            -3.983         8.872
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.103             0.010         0.031
AODDUST            0.021               0.022            -0.000         0.013
TREFHT           295.983             287.483             8.500         9.229
TS               296.658             288.285             8.372         9.208
TS_LAND          292.192             281.422            10.770        11.162
U_200             16.232              16.125             0.106         1.759
VT_850             0.096               0.159            -0.063         1.240
Z3_500            58.418              56.505             1.913         1.927
