DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            18.851              14.488             4.364        16.559
RESSURF           19.442              16.291             3.151        18.327
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.613               1.646            -1.032         1.464
CLDHGH            36.609              37.394            -0.785         5.916
CLDLOW            36.450              42.368            -5.918        11.060
CLDMED            23.347              30.982            -7.635         9.549
CLDTOT            57.674              62.793            -5.120         9.421
EKE_850           28.131              32.966            -4.835         6.976
EP             1.494e-01           4.559e-02         1.038e-01         0.708
FLNS              59.744              64.445            -4.701         9.686
FLNSC             81.133              92.090           -10.957        16.161
FLNT             240.727             227.394            13.332        15.456
FLNTC            260.301             248.427            11.874        14.509
FSDS             206.736             212.949            -6.214        22.747
FSDSC            261.486             273.040           -11.554        12.110
FSNS             176.371             165.728            10.643        23.263
FSNSC            225.052             218.044             7.008        33.419
FSNSC_ICE         76.052              44.069            31.983        40.592
FSNSC_LAND       205.910             200.835             5.075        21.434
FSNT             259.578             241.882            17.696        26.338
FSNTC            304.137             288.020            16.116        34.933
ICEAREA            2.568              13.611           -11.043         0.595
LHFLX             70.972              57.506            13.465        19.133
LWCF              19.574              21.032            -1.458         6.106
PRECT              2.267               1.898             0.369         0.784
PRECT_LAND         1.940               1.564             0.376         0.748
PRECT_OCEAN        2.643               2.521             0.122         0.834
PREH2O            25.618              14.583            11.035        11.651
PREH2O_OCEAN      30.931              19.915            11.017        14.011
PSI_200           -8.364              -8.580             0.216         0.399
PS               978.027             977.027             0.999         2.737
PSL             1017.130            1017.008             0.122         2.171
QFLX               2.417               1.944             0.473         0.643
SHFLX             26.213              27.486            -1.273         9.906
SNOWHLND           2.334               6.693            -4.358        13.452
SST               23.203              16.017             7.186         7.295
STRESS_MAG         0.043               0.048            -0.005         0.020
SWCF             -44.559             -46.139             1.580        18.287
T_850            284.976             275.370             9.606         9.671
TGCLDLWP          36.286              31.724             4.562        18.801
TGCLDIWP          14.087              18.004            -3.917        10.544
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.111               0.096             0.015         0.034
AODDUST            0.051               0.046             0.005         0.029
TREFHT           291.285             280.737            10.549        11.328
TS               291.929             281.393            10.537        11.449
TS_LAND          291.141             279.497            11.644        11.984
U_200             22.126              21.615             0.511         3.398
VT_850             0.311               0.444            -0.133         1.835
Z3_500            57.771              55.748             2.023         2.034
