DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            52.812              53.110            -0.298         6.542
RESSURF           23.747              23.773            -0.026        10.190
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.291              -0.598             0.307         2.279
CLDHGH            42.338              43.863            -1.525         7.602
CLDLOW            29.247              31.095            -1.848         5.829
CLDMED            17.842              19.132            -1.289         7.604
CLDTOT            57.755              59.997            -2.242         7.032
EKE_850           10.089              10.057             0.032         2.854
EP            -1.975e-01          -1.115e-01        -8.597e-02         2.037
FLNS              38.114              52.322           -14.209        15.263
FLNSC             46.639              68.236           -21.597        21.968
FLNT             256.982             253.287             3.694        12.546
FLNTC            284.423             284.639            -0.217         4.441
FSDS             226.003             231.186            -5.183        14.917
FSDSC            287.489             296.643            -9.154         9.352
FSNS             209.323             214.066            -4.743        14.050
FSNSC            267.290             275.613            -8.323         8.515
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       238.667             246.053            -7.386         7.754
FSNT             309.794             306.398             3.396        12.382
FSNTC            364.949             363.819             1.130         1.639
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            130.282             121.040             9.242        20.025
LWCF              27.441              31.352            -3.911         9.760
PRECT              4.725               4.308             0.417         1.875
PRECT_LAND         4.346               3.934             0.412         1.058
PRECT_OCEAN        4.837               4.409             0.428         2.075
PREH2O            65.317              41.361            23.956        24.804
PREH2O_OCEAN      67.856              43.148            24.708        25.565
PSI_200            0.151               0.121             0.030         0.226
PS               996.608             995.427             1.181         1.444
PSL             1011.486            1010.466             1.020         1.257
QFLX               4.527               4.196             0.331         0.531
SHFLX             17.181              16.931             0.249         8.283
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.937              27.519             5.418         5.457
STRESS_MAG         0.042               0.051            -0.010         0.019
SWCF             -55.155             -57.421             2.266        12.535
T_850            296.909             290.217             6.692         6.766
TGCLDLWP          46.336              44.065             2.271        11.330
TGCLDIWP          15.708              18.016            -2.308         7.430
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.121               0.127            -0.006         0.033
AODDUST            0.032               0.031             0.001         0.019
TREFHT           305.428             299.237             6.191         6.297
TS               306.312             300.279             6.033         6.192
TS_LAND          306.994             298.871             8.123         8.225
U_200              5.641               6.532            -0.891         2.720
VT_850             0.259               0.082             0.177         1.501
Z3_500            60.115              58.455             1.660         1.661
