DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            -0.056              -0.107             0.051         2.077
RESSURF           -0.063              -0.110             0.047         1.263
SOLIN            340.348             340.348             0.000         0.000
AAM            1.373e+26           1.349e+26         2.383e+24      -999.000
CHI_200            0.002               0.002            -0.001         0.424
CLDHGH            38.293              38.333            -0.040         1.747
CLDLOW            39.921              41.111            -1.190         2.092
CLDMED            24.718              25.944            -1.226         1.935
CLDTOT            61.215              62.239            -1.024         1.957
EKE_850           27.416              28.045            -0.629         1.635
EP            -3.572e-06           4.264e-05        -4.622e-05         0.281
FLNS              52.603              54.381            -1.779         2.664
FLNSC             75.101              78.663            -3.562         4.031
FLNT             242.896             241.266             1.629         2.638
FLNTC            266.726             265.669             1.056         2.011
FSDS             186.298             186.554            -0.256         3.354
FSDSC            244.470             246.295            -1.824         1.869
FSNS             167.263             166.912             0.351         3.036
FSNSC            220.751             221.747            -0.996         2.622
FSNSC_ICE         43.599              42.883             0.716         8.443
FSNSC_LAND       192.702             193.396            -0.693         1.834
FSNT             242.840             241.159             1.680         3.127
FSNTC            292.251             291.572             0.679         2.308
ICEAREA            7.765              10.458            -2.693         0.101
LHFLX             95.975              93.524             2.451         3.951
LWCF              23.830              24.403            -0.573         1.557
PRECT              3.299               3.211             0.088         0.272
PRECT_LAND         2.553               2.491             0.062         0.243
PRECT_OCEAN        3.710               3.626             0.083         0.288
PREH2O            32.008              28.889             3.119         3.498
PREH2O_OCEAN      35.812              32.551             3.261         3.817
PSI_200           -0.022              -0.021            -0.001         0.129
PS               986.025             985.719             0.306         0.692
PSL             1013.373            1013.170             0.203         0.587
QFLX               3.299               3.211             0.088         0.124
SHFLX             18.748              19.116            -0.368         2.054
SNOWHLND           7.802               8.234            -0.432         3.562
SST               22.677              21.365             1.312         1.357
STRESS_MAG         0.063               0.065            -0.001         0.005
SWCF             -49.411             -50.413             1.002         3.041
T_850            284.484             282.820             1.663         1.721
TGCLDLWP          43.207              42.841             0.366         3.932
TGCLDIWP          15.937              16.861            -0.924         2.691
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.090               0.087             0.003         0.006
AODDUST            0.004               0.004             0.000         0.001
TREFHT           291.308             289.641             1.667         1.793
TS               292.049             290.414             1.635         1.781
TS_LAND          286.485             284.369             2.116         2.221
U_200             15.944              15.883             0.061         1.286
VT_850             0.172               0.183            -0.011         0.523
Z3_500            57.449              57.066             0.383         0.392
