DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             8.051               8.329            -0.278         4.415
RESSURF            7.480               7.705            -0.225         7.309
SOLIN            350.480             350.480             0.000         0.000
AAM            1.467e+26           1.458e+26         8.910e+23      -999.000
CHI_200           -0.008              -0.010             0.002         0.574
CLDHGH            37.905              38.035            -0.130         3.425
CLDLOW            42.252              43.403            -1.152         3.194
CLDMED            25.603              26.673            -1.070         2.906
CLDTOT            62.626              63.638            -1.012         3.098
EKE_850           23.786              25.446            -1.660         3.825
EP             4.563e-03           7.190e-03        -2.627e-03         0.487
FLNS              51.411              53.157            -1.746         3.247
FLNSC             74.380              77.728            -3.348         4.403
FLNT             239.840             238.015             1.825         4.144
FLNTC            262.928             261.601             1.328         3.284
FSDS             192.602             193.196            -0.595         5.589
FSDSC            253.592             255.428            -1.836         2.121
FSNS             171.131             170.945             0.186         4.990
FSNSC            227.421             228.318            -0.898         4.539
FSNSC_ICE         38.396              22.214            16.181        11.334
FSNSC_LAND       148.512             148.696            -0.184         2.898
FSNT             247.891             246.345             1.547         4.773
FSNTC            299.575             298.783             0.792         4.305
ICEAREA            7.486              10.669            -3.183         0.151
LHFLX             95.987              93.221             2.767         6.467
LWCF              23.088              23.586            -0.497         2.498
PRECT              3.290               3.188             0.101         0.437
PRECT_LAND         2.513               2.426             0.087         0.346
PRECT_OCEAN        3.708               3.609             0.099         0.476
PREH2O            30.441              27.461             2.979         3.570
PREH2O_OCEAN      35.430              32.118             3.312         3.917
PSI_200            0.006               0.009            -0.003         0.268
PS               985.872             985.579             0.292         1.732
PSL             1013.638            1013.482             0.156         1.719
QFLX               3.294               3.195             0.099         0.188
SHFLX             16.253              16.862            -0.609         3.873
SNOWHLND           8.638               9.147            -0.509         3.824
SST               22.644              21.321             1.323         1.377
STRESS_MAG         0.068               0.067             0.001         0.015
SWCF             -51.684             -52.438             0.754         4.751
T_850            282.730             281.034             1.696         1.875
TGCLDLWP          41.540              40.994             0.546         5.638
TGCLDIWP          15.567              16.423            -0.856         5.178
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.082               0.080             0.002         0.008
AODDUST            0.002               0.002            -0.000         0.001
TREFHT           289.109             287.341             1.768         2.158
TS               289.862             288.129             1.733         2.164
TS_LAND          278.740             276.451             2.289         2.709
U_200             16.680              16.811            -0.131         2.510
VT_850            -0.753              -0.788             0.035         1.323
Z3_500            57.179              56.793             0.386         0.438
