DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -10.438             -10.727             0.289         3.628
RESSURF          -11.648             -11.707             0.059         5.438
SOLIN            330.417             330.417             0.000         0.000
AAM            1.100e+26           1.083e+26         1.754e+24      -999.000
CHI_200            0.014               0.016            -0.003         1.114
CLDHGH            38.031              37.918             0.113         2.730
CLDLOW            38.896              40.062            -1.166         2.888
CLDMED            23.478              24.866            -1.388         2.878
CLDTOT            60.415              61.341            -0.926         2.820
EKE_850           23.922              24.122            -0.201         1.874
EP             1.086e-02           9.121e-03         1.741e-03         0.561
FLNS              52.457              54.186            -1.729         3.095
FLNSC             74.441              78.156            -3.715         4.309
FLNT             246.642             245.024             1.618         3.762
FLNTC            270.984             270.065             0.919         2.008
FSDS             176.713             176.426             0.287         5.653
FSDSC            234.403             236.171            -1.768         2.008
FSNS             160.774             160.190             0.584         5.302
FSNSC            213.843             215.051            -1.208         2.721
FSNSC_ICE          0.531               0.640            -0.108         0.077
FSNSC_LAND       236.583             238.245            -1.662         2.205
FSNT             236.204             234.297             1.907         5.173
FSNTC            285.621             285.158             0.463         2.385
ICEAREA            6.665               9.756            -3.091         0.148
LHFLX             98.949              96.555             2.393         6.547
LWCF              24.342              25.041            -0.700         2.698
PRECT              3.394               3.311             0.084         0.506
PRECT_LAND         2.681               2.626             0.055         0.585
PRECT_OCEAN        3.743               3.683             0.060         0.470
PREH2O            34.113              30.831             3.281         3.703
PREH2O_OCEAN      36.045              32.966             3.078         3.887
PSI_200           -0.054              -0.054            -0.000         0.164
PS               986.232             985.910             0.322         0.734
PSL             1013.189            1012.947             0.242         0.645
QFLX               3.405               3.320             0.085         0.183
SHFLX             21.016              21.156            -0.139         2.794
SNOWHLND           6.911               7.206            -0.295         3.602
SST               22.374              21.070             1.304         1.357
STRESS_MAG         0.074               0.076            -0.002         0.007
SWCF             -49.417             -50.861             1.444         5.003
T_850            286.416             284.755             1.661         1.726
TGCLDLWP          46.927              47.111            -0.184         6.009
TGCLDIWP          16.690              17.669            -0.979         3.904
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.101             0.003         0.010
AODDUST            0.006               0.006             0.000         0.002
TREFHT           293.391             291.768             1.623         1.753
TS               294.096             292.496             1.599         1.762
TS_LAND          293.705             291.639             2.066         2.163
U_200             13.391              13.366             0.025         1.602
VT_850             1.131               1.196            -0.065         0.866
Z3_500            57.793              57.409             0.384         0.393
