DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             0.486               0.532            -0.046         2.811
RESSURF           -1.909              -1.913             0.004         4.357
SOLIN            338.285             338.285             0.000         0.000
AAM            1.479e+26           1.443e+26         3.596e+24      -999.000
CHI_200           -0.004              -0.003            -0.001         0.405
CLDHGH            39.143              39.237            -0.093         2.519
CLDLOW            38.518              39.608            -1.090         2.515
CLDMED            24.826              26.018            -1.192         2.421
CLDTOT            60.889              61.845            -0.956         2.475
EKE_850           24.896              25.549            -0.653         1.946
EP             2.157e-02           1.823e-02         3.336e-03         0.421
FLNS              53.997              55.842            -1.845         3.150
FLNSC             76.117              79.654            -3.537         4.215
FLNT             242.374             240.875             1.499         3.350
FLNTC            266.646             265.693             0.953         2.089
FSDS             187.951             188.477            -0.526         4.452
FSDSC            243.687             245.444            -1.757         1.888
FSNS             168.342             168.190             0.153         4.165
FSNSC            219.235             220.113            -0.878         3.039
FSNSC_ICE         38.170              33.554             4.617         6.036
FSNSC_LAND       212.687             212.592             0.096         3.882
FSNT             242.860             241.407             1.453         3.969
FSNTC            289.895             289.157             0.738         2.856
ICEAREA           10.150              11.800            -1.650         0.115
LHFLX             96.126              93.759             2.367         5.355
LWCF              24.272              24.818            -0.546         2.264
PRECT              3.281               3.199             0.082         0.395
PRECT_LAND         2.489               2.442             0.047         0.285
PRECT_OCEAN        3.714               3.623             0.090         0.442
PREH2O            31.622              28.589             3.033         3.543
PREH2O_OCEAN      35.834              32.517             3.317         3.883
PSI_200           -0.013              -0.013            -0.000         0.185
PS               985.988             985.690             0.298         0.823
PSL             1013.332            1013.130             0.202         0.746
QFLX               3.302               3.217             0.085         0.160
SHFLX             20.129              20.502            -0.373         2.666
SNOWHLND           8.359               8.999            -0.640         4.218
SST               22.731              21.421             1.310         1.375
STRESS_MAG         0.062               0.063            -0.001         0.007
SWCF             -47.035             -47.750             0.715         3.792
T_850            284.463             282.839             1.623         1.693
TGCLDLWP          40.857              40.166             0.691         4.749
TGCLDIWP          16.097              17.035            -0.938         2.863
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.084             0.003         0.007
AODDUST            0.005               0.005             0.000         0.002
TREFHT           291.474             289.856             1.618         1.765
TS               292.253             290.666             1.587         1.763
TS_LAND          286.815             284.818             1.997         2.136
U_200             17.237              17.044             0.193         1.546
VT_850             0.137               0.120             0.017         0.796
Z3_500            57.407              57.032             0.375         0.389
