DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             1.655               1.443             0.213         3.333
RESSURF            5.797               5.484             0.313         4.613
SOLIN            342.210             342.210             0.000         0.000
AAM            1.448e+26           1.413e+26         3.499e+24      -999.000
CHI_200            0.008               0.008             0.000         0.362
CLDHGH            38.081              38.142            -0.062         2.294
CLDLOW            40.022              41.373            -1.352         2.429
CLDMED            24.967              26.211            -1.244         2.162
CLDTOT            60.925              62.127            -1.202         2.410
EKE_850           24.457              25.189            -0.732         1.930
EP            -3.680e-02          -3.407e-02        -2.733e-03         0.380
FLNS              52.544              54.336            -1.792         2.902
FLNSC             75.472              79.109            -3.637         4.196
FLNT             242.743             241.155             1.587         3.145
FLNTC            266.352             265.321             1.031         1.888
FSDS             187.913             188.123            -0.211         4.456
FSDSC            246.198             248.130            -1.932         2.065
FSNS             168.796             168.331             0.465         4.222
FSNSC            222.508             223.502            -0.994         4.938
FSNSC_ICE         54.257              56.234            -1.977        10.123
FSNSC_LAND       173.030             174.050            -1.021         1.423
FSNT             244.398             242.598             1.800         4.258
FSNTC            293.914             293.189             0.725         4.611
ICEAREA            6.764               9.632            -2.867         0.154
LHFLX             92.859              90.572             2.286         5.570
LWCF              23.610              24.166            -0.557         2.204
PRECT              3.232               3.145             0.087         0.353
PRECT_LAND         2.527               2.469             0.058         0.274
PRECT_OCEAN        3.585               3.500             0.085         0.387
PREH2O            31.855              28.678             3.177         3.667
PREH2O_OCEAN      35.244              31.949             3.295         3.971
PSI_200           -0.026              -0.025            -0.001         0.134
PS               986.010             985.699             0.312         0.599
PSL             1013.331            1013.119             0.211         0.499
QFLX               3.195               3.111             0.084         0.169
SHFLX             17.597              17.939            -0.342         2.468
SNOWHLND           7.301               7.582            -0.282         3.260
SST               22.182              20.850             1.331         1.371
STRESS_MAG         0.070               0.071            -0.001         0.005
SWCF             -49.516             -50.591             1.075         4.207
T_850            284.329             282.656             1.673         1.724
TGCLDLWP          43.511              43.108             0.403         4.951
TGCLDIWP          15.393              16.304            -0.911         3.224
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.090               0.086             0.004         0.009
AODDUST            0.003               0.003            -0.000         0.001
TREFHT           291.260             289.602             1.658         1.755
TS               291.988             290.366             1.622         1.742
TS_LAND          286.694             284.577             2.117         2.198
U_200             16.477              16.314             0.163         1.133
VT_850             0.160               0.194            -0.034         0.614
Z3_500            57.417              57.030             0.386         0.391
