DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -27.338             -26.909            -0.429         2.314
RESSURF           -9.992             -10.165             0.173         1.174
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.125              -0.135             0.010         0.384
CLDHGH            36.712              36.575             0.138         2.006
CLDLOW            41.376              42.705            -1.329         2.509
CLDMED            27.117              28.382            -1.265         1.995
CLDTOT            60.991              61.931            -0.941         2.185
EKE_850           31.660              32.458            -0.798         2.150
EP             3.034e-03           2.463e-02        -2.160e-02         0.249
FLNS              60.225              61.247            -1.022         2.434
FLNSC             84.845              87.457            -2.612         3.327
FLNT             238.673             236.482             2.192         3.160
FLNTC            258.825             256.871             1.953         2.825
FSDS             167.870             168.156            -0.286         3.289
FSDSC            218.732             220.414            -1.682         1.736
FSNS             145.410             144.803             0.607         3.263
FSNSC            190.981             191.474            -0.493         2.196
FSNSC_ICE       -999.000              58.272          -999.000      -999.000
FSNSC_LAND       175.256             175.404            -0.148         2.031
FSNT             211.336             209.573             1.763         3.327
FSNTC            253.178             252.170             1.008         2.227
ICEAREA            3.581               4.632            -1.051         0.088
LHFLX             69.180              67.509             1.671         3.570
LWCF              20.151              20.390            -0.238         1.341
PRECT              2.359               2.272             0.087         0.261
PRECT_LAND         1.923               1.849             0.074         0.275
PRECT_OCEAN        3.016               2.931             0.084         0.252
PREH2O            22.483              20.167             2.316         2.508
PREH2O_OCEAN      29.046              26.374             2.672         3.019
PSI_200           -7.153              -7.112            -0.041         0.183
PS               974.589             974.310             0.279         0.998
PSL             1018.535            1018.451             0.084         0.885
QFLX               2.362               2.297             0.065         0.118
SHFLX             25.997              26.212            -0.215         2.250
SNOWHLND           2.097               2.494            -0.397         2.598
SST               20.552              19.247             1.305         1.436
STRESS_MAG         0.047               0.047            -0.000         0.009
SWCF             -41.842             -42.597             0.755         2.817
T_850            281.164             279.259             1.905         2.005
TGCLDLWP          37.908              37.320             0.589         3.881
TGCLDIWP          16.402              17.349            -0.947         2.920
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.062               0.060             0.002         0.004
AODDUST            0.008               0.008             0.000         0.002
TREFHT           286.591             284.615             1.976         2.166
TS               287.266             285.309             1.957         2.170
TS_LAND          283.514             281.187             2.327         2.443
U_200             19.638              19.355             0.284         1.862
VT_850             0.199               0.219            -0.020         0.763
Z3_500            57.136              56.733             0.403         0.427
