DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM          -112.106            -109.997            -2.109         4.538
RESSURF          -81.870             -80.737            -1.133        10.418
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.607               3.916            -0.309         0.533
CLDHGH            35.504              35.253             0.251         4.049
CLDLOW            48.178              49.904            -1.726         4.299
CLDMED            33.359              34.605            -1.246         3.725
CLDTOT            65.288              66.412            -1.124         3.690
EKE_850           39.028              42.675            -3.647         6.295
EP             1.920e-01           1.781e-01         1.388e-02         0.467
FLNS              59.431              59.911            -0.480         3.014
FLNSC             86.256              87.714            -1.458         3.878
FLNT             221.853             218.595             3.257         5.021
FLNTC            239.844             236.700             3.145         5.177
FSDS              90.149              90.115             0.034         3.171
FSDSC            115.116             115.910            -0.794         0.975
FSNS              75.770              75.140             0.631         3.217
FSNSC             97.185              97.162             0.023         2.397
FSNSC_ICE          0.173               0.145             0.028         0.034
FSNSC_LAND        78.700              77.871             0.829         3.463
FSNT             109.746             108.598             1.148         3.058
FSNTC            129.949             129.226             0.723         2.417
ICEAREA            5.083               7.349            -2.265         0.211
LHFLX             76.417              73.234             3.183         7.391
LWCF              17.991              18.104            -0.113         2.452
PRECT              2.366               2.266             0.100         0.424
PRECT_LAND         1.211               1.145             0.066         0.255
PRECT_OCEAN        3.895               3.774             0.121         0.569
PREH2O            14.236              12.755             1.481         1.844
PREH2O_OCEAN      21.705              19.868             1.837         2.377
PSI_200           -8.668              -8.723             0.055         0.399
PS               974.850             974.626             0.224         2.902
PSL             1020.539            1020.595            -0.056         2.872
QFLX               2.558               2.444             0.114         0.225
SHFLX             21.793              22.732            -0.939         5.890
SNOWHLND           3.893               4.368            -0.475         2.871
SST               18.595              17.307             1.288         1.437
STRESS_MAG         0.079               0.072             0.007         0.030
SWCF             -20.202             -20.628             0.425         2.589
T_850            273.262             271.208             2.054         2.413
TGCLDLWP          25.906              25.369             0.538         5.928
TGCLDIWP          17.011              18.399            -1.388         8.071
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.050               0.049             0.001         0.005
AODDUST            0.003               0.003            -0.000         0.001
TREFHT           276.930             274.531             2.399         3.106
TS               277.807             275.435             2.372         3.150
TS_LAND          267.299             264.569             2.731         3.270
U_200             26.703              26.459             0.244         3.822
VT_850             0.299               0.353            -0.053         2.150
Z3_500            55.765              55.349             0.416         0.545
