DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            58.307              57.253             1.054         5.156
RESSURF           63.361              61.953             1.408         5.642
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.871              -4.147             0.276         0.999
CLDHGH            36.778              36.644             0.134         3.249
CLDLOW            38.479              39.406            -0.927         3.771
CLDMED            19.533              20.754            -1.221         3.056
CLDTOT            58.899              59.461            -0.562         3.451
EKE_850           15.858              16.248            -0.391         1.967
EP            -2.800e-01          -1.868e-01        -9.313e-02         0.716
FLNS              56.021              57.423            -1.402         3.707
FLNSC             77.899              81.698            -3.799         4.648
FLNT             256.380             254.926             1.454         4.454
FLNTC            278.661             277.472             1.189         2.263
FSDS             240.111             240.410            -0.299         8.446
FSDSC            321.685             324.328            -2.643         2.785
FSNS             213.455             212.812             0.644         7.957
FSNSC            288.116             289.406            -1.290         4.342
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       274.674             276.643            -1.969         2.644
FSNT             314.686             312.179             2.508         7.596
FSNTC            383.096             381.986             1.109         4.155
ICEAREA            1.492               2.327            -0.835         0.081
LHFLX             63.213              63.250            -0.037         7.083
LWCF              22.282              22.546            -0.264         2.811
PRECT              2.501               2.396             0.105         0.649
PRECT_LAND         2.917               2.799             0.118         0.745
PRECT_OCEAN        2.072               2.024             0.048         0.531
PREH2O            33.564              30.039             3.525         3.842
PREH2O_OCEAN      36.992              33.722             3.270         4.217
PSI_200           -4.596              -4.589            -0.008         0.190
PS               973.607             973.328             0.279         0.654
PSL             1015.931            1015.785             0.146         0.580
QFLX               2.221               2.209             0.012         0.184
SHFLX             30.860              30.186             0.674         3.093
SNOWHLND           0.279               0.447            -0.167         2.545
SST               22.234              20.935             1.299         1.458
STRESS_MAG         0.047               0.047            -0.000         0.005
SWCF             -68.409             -69.807             1.398         7.196
T_850            290.429             288.510             1.920         2.000
TGCLDLWP          55.309              55.465            -0.156         7.315
TGCLDIWP          17.838              18.090            -0.252         3.275
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.080               0.077             0.003         0.009
AODDUST            0.012               0.012             0.000         0.003
TREFHT           296.089             294.332             1.757         1.901
TS               296.536             294.781             1.755         1.924
TS_LAND          299.325             297.130             2.195         2.286
U_200             10.347              10.257             0.090         1.969
VT_850             0.077               0.051             0.026         0.930
Z3_500            58.702              58.292             0.409         0.419
