DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            18.556              18.339             0.217         3.554
RESSURF           19.369              18.910             0.459         4.981
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.566               1.494             0.072         0.406
CLDHGH            37.768              37.894            -0.127         2.634
CLDLOW            39.157              40.478            -1.321         3.104
CLDMED            28.700              29.851            -1.151         2.357
CLDTOT            60.586              61.655            -1.069         2.679
EKE_850           30.476              31.469            -0.993         2.399
EP             5.856e-02           5.206e-02         6.500e-03         0.261
FLNS              65.395              66.166            -0.770         2.890
FLNSC             90.882              92.995            -2.113         3.057
FLNT             235.495             233.442             2.053         2.949
FLNTC            256.107             254.382             1.726         2.549
FSDS             210.909             211.736            -0.827         5.173
FSDSC            271.314             273.238            -1.924         2.091
FSNS             177.569             176.533             1.036         4.857
FSNSC            231.327             231.063             0.264         4.676
FSNSC_ICE         45.374              41.477             3.897         6.491
FSNSC_LAND       215.674             214.501             1.173         5.002
FSNT             254.051             251.781             2.270         4.781
FSNTC            302.142             300.262             1.881         4.877
ICEAREA            7.697               8.206            -0.509         0.074
LHFLX             62.411              60.889             1.522         4.651
LWCF              20.612              20.940            -0.327         1.624
PRECT              2.064               2.012             0.052         0.264
PRECT_LAND         1.750               1.712             0.038         0.262
PRECT_OCEAN        2.603               2.537             0.066         0.279
PREH2O            18.475              16.754             1.721         1.982
PREH2O_OCEAN      24.320              22.225             2.095         2.452
PSI_200           -8.415              -8.256            -0.159         0.265
PS               975.073             974.794             0.279         1.076
PSL             1018.932            1018.827             0.105         1.012
QFLX               2.122               2.064             0.058         0.152
SHFLX             30.394              30.569            -0.175         2.520
SNOWHLND           3.587               4.286            -0.699         3.107
SST               18.402              17.131             1.271         1.477
STRESS_MAG         0.048               0.047             0.002         0.010
SWCF             -48.091             -48.481             0.390         4.285
T_850            279.437             277.640             1.796         1.921
TGCLDLWP          34.535              33.482             1.053         5.065
TGCLDIWP          16.742              17.822            -1.080         2.765
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.060               0.058             0.002         0.005
AODDUST            0.011               0.010             0.000         0.003
TREFHT           285.455             283.640             1.814         2.025
TS               286.117             284.312             1.804         2.041
TS_LAND          284.125             282.017             2.108         2.271
U_200             21.901              21.470             0.431         2.240
VT_850             0.324               0.367            -0.043         1.121
Z3_500            56.759              56.386             0.373         0.406
