DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -74.106             -73.255            -0.851         2.215
RESSURF          -40.832             -40.787            -0.045         5.872
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.803              -1.816             0.013         0.372
CLDHGH            36.800              36.518             0.282         1.944
CLDLOW            39.688              41.048            -1.361         2.589
CLDMED            26.881              28.315            -1.434         2.184
CLDTOT            59.202              60.184            -0.982         2.213
EKE_850           27.742              28.600            -0.858         2.020
EP             4.254e-02           5.501e-02        -1.247e-02         0.258
FLNS              60.051              61.465            -1.414         2.894
FLNSC             84.356              87.403            -3.047         3.791
FLNT             240.966             238.986             1.980         2.825
FLNTC            260.695             258.956             1.739         2.405
FSDS             130.307             130.347            -0.040         2.746
FSDSC            166.814             168.168            -1.353         1.448
FSNS             114.844             114.717             0.126         2.446
FSNSC            147.301             148.260            -0.959         1.291
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       131.986             132.602            -0.616         1.160
FSNT             166.859             165.731             1.129         2.460
FSNTC            197.529             197.207             0.322         0.717
ICEAREA            0.058               0.667            -0.610         0.094
LHFLX             74.680              72.692             1.987         6.000
LWCF              19.729              19.970            -0.241         1.450
PRECT              2.505               2.416             0.088         0.260
PRECT_LAND         1.811               1.741             0.070         0.260
PRECT_OCEAN        3.243               3.143             0.100         0.258
PREH2O            23.656              21.128             2.528         2.767
PREH2O_OCEAN      30.056              27.020             3.036         3.297
PSI_200           -6.936              -6.877            -0.059         0.142
PS               974.811             974.466             0.345         0.660
PSL             1018.719            1018.569             0.150         0.516
QFLX               2.547               2.471             0.076         0.194
SHFLX             20.945              21.346            -0.401         2.229
SNOWHLND           0.629               0.876            -0.246         2.848
SST               21.357              19.933             1.424         1.508
STRESS_MAG         0.050               0.050            -0.000         0.004
SWCF             -30.669             -31.477             0.807         2.377
T_850            281.603             279.712             1.891         1.953
TGCLDLWP          35.865              35.046             0.819         4.882
TGCLDIWP          14.033              15.050            -1.017         2.782
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.059               0.057             0.002         0.004
AODDUST            0.005               0.005             0.000         0.002
TREFHT           287.897             285.962             1.934         2.055
TS               288.613             286.712             1.901         2.045
TS_LAND          283.332             281.048             2.284         2.372
U_200             19.613              19.250             0.363         1.283
VT_850             0.051               0.073            -0.022         0.759
Z3_500            57.314              56.900             0.413         0.420
