DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -22.816             -22.874             0.058         1.910
RESSURF           -5.320              -5.313            -0.007         1.083
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.664               0.714            -0.050         0.218
CLDHGH            35.005              35.037            -0.032         1.153
CLDLOW            47.997              49.683            -1.687         2.145
CLDMED            28.577              30.107            -1.530         1.899
CLDTOT            63.725              65.133            -1.408         1.887
EKE_850           38.848              39.825            -0.977         1.503
EP             1.635e-01           1.462e-01         1.734e-02         0.155
FLNS              52.802              54.191            -1.388         2.087
FLNSC             83.255              86.552            -3.298         3.702
FLNT             233.063             231.177             1.886         2.153
FLNTC            253.853             252.520             1.333         1.785
FSDS             165.276             165.430            -0.153         3.332
FSDSC            219.622             221.400            -1.778         1.814
FSNS             145.215             144.389             0.826         2.568
FSNSC            194.786             195.357            -0.570         3.558
FSNSC_ICE         43.599              42.076             1.523         8.443
FSNSC_LAND       138.801             139.798            -0.998         1.328
FSNT             210.247             208.303             1.944         2.947
FSNTC            255.228             254.325             0.903         3.390
ICEAREA            4.184               5.826            -1.642         0.109
LHFLX             84.931              81.775             3.156         3.716
LWCF              20.790              21.343            -0.553         1.265
PRECT              2.725               2.629             0.096         0.170
PRECT_LAND         1.698               1.606             0.092         0.149
PRECT_OCEAN        2.966               2.890             0.076         0.170
PREH2O            21.499              19.339             2.159         2.327
PREH2O_OCEAN      22.992              20.930             2.062         2.384
PSI_200            7.852               7.814             0.038         0.087
PS               985.467             985.076             0.391         0.624
PSL             1008.685            1008.378             0.307         0.463
QFLX               2.888               2.775             0.113         0.126
SHFLX             12.802              13.736            -0.934         1.730
SNOWHLND          39.750              41.089            -1.339         7.376
SST               16.936              15.527             1.409         1.436
STRESS_MAG         0.082               0.083            -0.002         0.004
SWCF             -44.981             -46.022             1.041         3.237
T_850            278.524             276.885             1.639         1.659
TGCLDLWP          39.795              38.922             0.873         4.643
TGCLDIWP          13.679              15.200            -1.521         3.084
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.091               0.085             0.006         0.008
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           285.090             283.411             1.680         1.769
TS               285.741             284.101             1.640         1.750
TS_LAND          270.730             268.583             2.148         2.226
U_200             26.760              26.405             0.356         0.699
VT_850            -0.166              -0.187             0.020         0.348
Z3_500            55.757              55.368             0.389         0.391
