DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            82.887              81.580             1.307         5.167
RESSURF           90.239              89.437             0.803         5.967
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.091              -3.292             0.201         0.365
CLDHGH            33.781              33.804            -0.023         1.802
CLDLOW            48.770              50.162            -1.392         2.589
CLDMED            24.528              25.880            -1.351         2.073
CLDTOT            63.777              64.860            -1.083         2.365
EKE_850           25.112              26.552            -1.440         2.245
EP             4.268e-02           2.797e-02         1.471e-02         0.247
FLNS              48.393              50.123            -1.730         2.934
FLNSC             78.144              81.944            -3.800         4.170
FLNT             241.598             240.175             1.423         2.235
FLNTC            261.386             260.374             1.012         1.439
FSDS             259.949             260.748            -0.799         7.319
FSDSC            347.054             349.767            -2.713         2.836
FSNS             224.389             223.435             0.955         6.175
FSNSC            305.190             305.989            -0.798         7.350
FSNSC_ICE        104.292              96.864             7.427        18.707
FSNSC_LAND       199.666             201.117            -1.452         2.366
FSNT             324.485             321.754             2.731         6.192
FSNTC            396.375             394.860             1.515         7.178
ICEAREA            2.403               3.320            -0.918         0.085
LHFLX             75.539              72.862             2.677         4.647
LWCF              19.788              20.199            -0.412         1.517
PRECT              2.551               2.472             0.079         0.230
PRECT_LAND         2.765               2.601             0.164         0.340
PRECT_OCEAN        2.550               2.495             0.055         0.205
PREH2O            26.248              23.615             2.634         2.917
PREH2O_OCEAN      27.217              24.632             2.585         2.882
PSI_200            7.240               7.306            -0.066         0.146
PS               985.538             985.213             0.325         0.849
PSL             1008.299            1008.081             0.218         0.885
QFLX               2.594               2.500             0.094         0.146
SHFLX             10.217              11.013            -0.795         1.850
SNOWHLND          39.203              40.763            -1.560         7.832
SST               18.042              16.616             1.427         1.458
STRESS_MAG         0.072               0.070             0.001         0.008
SWCF             -71.890             -73.106             1.215         6.339
T_850            281.307             279.681             1.626         1.648
TGCLDLWP          45.333              44.758             0.575         5.761
TGCLDIWP          11.025              11.828            -0.803         2.342
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.082             0.005         0.009
AODDUST            0.000               0.000             0.000         0.000
TREFHT           288.244             286.665             1.579         1.627
TS               288.727             287.191             1.537         1.596
TS_LAND          279.613             277.633             1.981         2.044
U_200             21.908              21.438             0.470         1.102
VT_850            -0.079              -0.086             0.007         0.602
Z3_500            56.406              56.025             0.381         0.388
