DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM          -120.738            -119.561            -1.177         2.200
RESSURF          -94.127             -92.840            -1.287         6.687
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.411               4.727            -0.316         0.624
CLDHGH            35.280              35.170             0.110         1.911
CLDLOW            47.705              49.708            -2.002         2.749
CLDMED            32.602              34.222            -1.620         2.504
CLDTOT            63.732              65.415            -1.683         2.485
EKE_850           48.931              49.456            -0.525         2.460
EP             2.407e-01           2.220e-01         1.875e-02         0.233
FLNS              56.745              57.801            -1.057         2.175
FLNSC             88.283              91.096            -2.812         3.578
FLNT             225.165             222.909             2.256         2.870
FLNTC            247.224             245.645             1.579         2.450
FSDS              78.335              77.826             0.509         1.679
FSDSC            102.635             103.474            -0.839         0.946
FSNS              71.487              70.944             0.544         1.502
FSNSC             92.715              93.334            -0.619         0.928
FSNSC_ICE          0.531               0.640            -0.108         0.077
FSNSC_LAND        83.601              84.123            -0.522         0.770
FSNT             104.427             103.348             1.079         1.732
FSNTC            124.898             124.812             0.086         0.471
ICEAREA            5.174               7.429            -2.256         0.183
LHFLX             93.895              89.926             3.969         6.080
LWCF              22.059              22.736            -0.677         1.843
PRECT              2.935               2.811             0.125         0.246
PRECT_LAND         0.914               0.860             0.054         0.175
PRECT_OCEAN        3.375               3.262             0.113         0.250
PREH2O            17.150              15.427             1.722         1.861
PREH2O_OCEAN      18.925              17.303             1.622         1.986
PSI_200            7.651               7.595             0.056         0.152
PS               985.881             985.448             0.433         1.052
PSL             1009.459            1009.101             0.358         0.921
QFLX               3.176               3.033             0.143         0.197
SHFLX             14.975              16.057            -1.081         3.110
SNOWHLND          40.039              41.270            -1.231         7.547
SST               15.421              14.032             1.389         1.421
STRESS_MAG         0.094               0.097            -0.003         0.009
SWCF             -20.471             -21.464             0.993         1.757
T_850            275.804             274.173             1.631         1.691
TGCLDLWP          35.055              33.931             1.124         5.818
TGCLDIWP          16.843              19.144            -2.301         5.217
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.093               0.087             0.006         0.009
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           282.311             280.546             1.765         1.944
TS               283.118             281.392             1.725         1.962
TS_LAND          263.182             260.907             2.275         2.423
U_200             30.918              30.734             0.184         1.183
VT_850            -0.257              -0.299             0.041         0.973
Z3_500            55.176              54.784             0.392         0.406
