DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -74.093             -73.458            -0.634         1.903
RESSURF          -49.510             -49.014            -0.496         4.677
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.967              -0.897            -0.070         0.216
CLDHGH            35.963              36.011            -0.048         1.811
CLDLOW            46.417              47.940            -1.523         2.328
CLDMED            28.314              29.965            -1.651         2.268
CLDTOT            63.168              64.434            -1.266         2.153
EKE_850           36.663              37.734            -1.071         2.068
EP             1.590e-01           1.473e-01         1.169e-02         0.283
FLNS              51.881              53.528            -1.647         2.777
FLNSC             80.761              84.388            -3.627         4.270
FLNT             234.300             232.395             1.905         2.602
FLNTC            255.648             254.280             1.368         2.096
FSDS             120.045             119.893             0.152         2.378
FSDSC            159.823             161.150            -1.328         1.400
FSNS             109.403             109.063             0.340         2.206
FSNSC            145.074             146.037            -0.962         1.670
FSNSC_ICE         10.103               8.786             1.316         3.778
FSNSC_LAND       111.937             112.793            -0.856         1.157
FSNT             160.207             158.937             1.270         2.373
FSNTC            193.727             193.491             0.236         1.193
ICEAREA            2.453               3.594            -1.141         0.153
LHFLX             94.597              91.159             3.438         5.027
LWCF              21.348              21.885            -0.537         1.553
PRECT              3.066               2.955             0.111         0.270
PRECT_LAND         1.672               1.564             0.108         0.203
PRECT_OCEAN        3.359               3.263             0.097         0.280
PREH2O            23.760              21.301             2.459         2.686
PREH2O_OCEAN      25.291              22.872             2.419         2.731
PSI_200            8.264               8.180             0.084         0.133
PS               985.570             985.035             0.535         0.941
PSL             1008.901            1008.450             0.452         0.816
QFLX               3.225               3.102             0.123         0.159
SHFLX             12.434              13.389            -0.955         2.289
SNOWHLND          38.489              40.135            -1.646         8.704
SST               18.037              16.595             1.442         1.468
STRESS_MAG         0.079               0.082            -0.002         0.007
SWCF             -33.519             -34.554             1.035         2.329
T_850            279.663             278.007             1.656         1.697
TGCLDLWP          39.200              38.457             0.743         4.966
TGCLDIWP          13.492              14.940            -1.449         3.061
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.088             0.005         0.008
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           286.279             284.555             1.724         1.872
TS               287.025             285.339             1.686         1.873
TS_LAND          269.252             266.982             2.271         2.400
U_200             25.351              25.176             0.175         0.878
VT_850            -0.117              -0.143             0.025         0.704
Z3_500            56.012              55.602             0.409         0.416
