DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            20.650              19.969             0.681         4.499
RESSURF           32.093              31.202             0.891         4.295
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.310               2.331            -0.021         0.163
CLDHGH            34.991              35.146            -0.155         1.880
CLDLOW            49.105              50.910            -1.805         2.623
CLDMED            28.865              30.345            -1.480         2.234
CLDTOT            64.213              65.807            -1.594         2.444
EKE_850           37.894              38.960            -1.066         2.504
EP             2.108e-01           1.895e-01         2.134e-02         0.212
FLNS              54.184              55.321            -1.137         2.301
FLNSC             85.828              88.782            -2.955         3.538
FLNT             231.196             229.244             1.952         2.403
FLNTC            251.154             249.783             1.370         1.753
FSDS             202.743             203.298            -0.556         5.622
FSDSC            268.974             271.207            -2.233         2.376
FSNS             175.552             174.157             1.395         5.447
FSNSC            236.167             236.063             0.103         8.326
FSNSC_ICE         54.257              56.234            -1.977        10.123
FSNSC_LAND       159.995             161.151            -1.156         1.516
FSNT             251.846             249.213             2.633         5.539
FSNTC            305.913             304.134             1.779         8.085
ICEAREA            6.706               8.964            -2.258         0.174
LHFLX             75.692              73.151             2.540         4.472
LWCF              19.958              20.539            -0.581         1.561
PRECT              2.347               2.276             0.072         0.219
PRECT_LAND         1.437               1.394             0.043         0.189
PRECT_OCEAN        2.577               2.514             0.063         0.227
PREH2O            18.839              17.013             1.826         2.007
PREH2O_OCEAN      20.397              18.673             1.723         2.066
PSI_200            8.257               8.171             0.085         0.152
PS               984.880             984.611             0.270         0.726
PSL             1008.082            1007.883             0.198         0.619
QFLX               2.558               2.465             0.093         0.149
SHFLX             13.583              14.482            -0.899         2.597
SNOWHLND          41.275              42.187            -0.912         6.171
SST               15.384              14.002             1.382         1.415
STRESS_MAG         0.095               0.096            -0.001         0.005
SWCF             -54.067             -54.921             0.854         5.433
T_850            277.308             275.686             1.622         1.653
TGCLDLWP          39.614              38.527             1.087         5.434
TGCLDIWP          13.346              14.880            -1.534         3.600
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.095               0.086             0.008         0.012
AODDUST            0.000               0.000             0.000         0.000
TREFHT           283.527             281.879             1.648         1.736
TS               284.094             282.486             1.608         1.729
TS_LAND          270.868             268.812             2.056         2.115
U_200             28.869              28.275             0.595         1.133
VT_850            -0.195              -0.208             0.013         0.552
Z3_500            55.436              55.061             0.375         0.380
