DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            45.247              44.767             0.479         1.995
RESSURF           13.686              13.704            -0.018         1.474
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.483              -0.517             0.034         0.573
CLDHGH            42.700              42.909            -0.208         1.931
CLDLOW            31.293              31.908            -0.616         1.558
CLDMED            19.054              19.968            -0.914         1.912
CLDTOT            59.147              59.898            -0.751         1.795
EKE_850           13.936              14.120            -0.184         1.165
EP            -1.508e-01          -1.545e-01         3.724e-03         0.380
FLNS              45.521              48.339            -2.817         3.263
FLNSC             58.900              63.561            -4.661         4.820
FLNT             255.620             254.732             0.888         2.516
FLNTC            285.532             285.537            -0.006         1.123
FSDS             222.011             222.333            -0.322         3.432
FSDSC            290.266             292.261            -1.995         2.028
FSNS             207.008             207.317            -0.310         3.209
FSNSC            271.209             273.045            -1.836         1.870
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.581             257.191            -1.610         1.645
FSNT             300.867             299.499             1.368         3.100
FSNTC            361.141             360.963             0.178         0.276
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            130.232             127.713             2.520         4.453
LWCF              29.911              30.805            -0.894         1.934
PRECT              4.670               4.587             0.083         0.348
PRECT_LAND         4.183               4.161             0.022         0.221
PRECT_OCEAN        4.819               4.715             0.104         0.382
PREH2O            50.144              45.431             4.714         4.877
PREH2O_OCEAN      52.176              47.207             4.970         5.115
PSI_200           -0.694              -0.693            -0.001         0.099
PS               996.885             996.632             0.253         0.307
PSL             1012.943            1012.727             0.216         0.256
QFLX               4.519               4.433             0.087         0.126
SHFLX             17.568              17.562             0.006         2.138
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.390              28.169             1.221         1.230
STRESS_MAG         0.054               0.056            -0.002         0.004
SWCF             -60.274             -61.464             1.190         3.054
T_850            292.458             290.981             1.478         1.495
TGCLDLWP          51.093              51.388            -0.295         3.210
TGCLDIWP          17.560              17.922            -0.362         2.005
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.114               0.114             0.000         0.006
AODDUST            0.004               0.004             0.000         0.001
TREFHT           301.207             299.831             1.376         1.397
TS               302.090             300.750             1.339         1.369
TS_LAND          300.602             298.895             1.707         1.731
U_200              2.808               3.215            -0.408         1.031
VT_850             0.439               0.470            -0.031         0.375
Z3_500            59.265              58.905             0.359         0.360
