DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            49.083              49.138            -0.055         3.459
RESSURF           13.446              13.780            -0.333         4.436
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.491              -0.593             0.102         0.739
CLDHGH            43.813              44.385            -0.573         3.897
CLDLOW            30.985              31.399            -0.414         2.422
CLDMED            19.555              20.210            -0.655         2.700
CLDTOT            59.174              60.020            -0.845         3.097
EKE_850            9.542               9.703            -0.160         1.207
EP            -1.996e-01          -1.664e-01        -3.326e-02         0.644
FLNS              46.883              49.791            -2.908         3.690
FLNSC             60.221              64.871            -4.650         5.013
FLNT             254.532             253.641             0.891         4.574
FLNTC            285.223             285.254            -0.032         2.045
FSDS             224.383             225.362            -0.978         5.496
FSDSC            294.342             296.328            -1.986         2.121
FSNS             209.248             210.159            -0.911         5.108
FSNSC            274.919             276.740            -1.821         1.952
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       259.279             260.794            -1.515         1.668
FSNT             303.614             302.779             0.835         4.565
FSNTC            365.506             365.305             0.201         0.386
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            132.216             129.745             2.471         6.968
LWCF              30.691              31.613            -0.922         3.164
PRECT              4.794               4.671             0.123         0.572
PRECT_LAND         4.768               4.684             0.084         0.473
PRECT_OCEAN        4.778               4.641             0.137         0.602
PREH2O            48.907              44.258             4.649         5.003
PREH2O_OCEAN      50.998              46.078             4.920         5.245
PSI_200            1.309               1.309             0.001         0.195
PS               996.152             995.827             0.325         0.396
PSL             1012.222            1011.931             0.291         0.359
QFLX               4.594               4.504             0.090         0.185
SHFLX             16.703              16.843            -0.141         2.765
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.390              28.154             1.236         1.255
STRESS_MAG         0.058               0.060            -0.002         0.005
SWCF             -61.892             -62.526             0.634         4.582
T_850            292.095             290.636             1.459         1.490
TGCLDLWP          52.258              51.732             0.526         5.242
TGCLDIWP          18.372              18.793            -0.421         3.380
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.105            -0.000         0.010
AODDUST            0.002               0.002            -0.000         0.000
TREFHT           300.917             299.548             1.369         1.401
TS               301.802             300.472             1.330         1.370
TS_LAND          299.506             297.869             1.637         1.687
U_200              2.875               3.890            -1.015         1.839
VT_850            -2.239              -2.373             0.134         0.697
Z3_500            59.158              58.794             0.364         0.366
