DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            27.183              26.260             0.923         2.923
RESSURF           -4.884              -4.941             0.057         3.715
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.451              -0.480             0.029         1.493
CLDHGH            41.657              41.560             0.097         2.842
CLDLOW            31.298              31.924            -0.627         1.931
CLDMED            18.789              20.119            -1.329         3.024
CLDTOT            58.784              59.355            -0.570         2.446
EKE_850            9.252               9.017             0.235         1.012
EP             6.603e-02          -6.205e-03         7.223e-02         0.609
FLNS              45.349              47.984            -2.635         3.193
FLNSC             58.779              63.236            -4.457         4.586
FLNT             257.270             256.080             1.189         3.790
FLNTC            285.543             285.467             0.075         1.126
FSDS             208.380             207.764             0.616         4.762
FSDSC            274.677             276.494            -1.817         1.871
FSNS             193.914             193.347             0.567         4.431
FSNSC            256.261             257.929            -1.668         1.720
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.162             243.819            -1.657         1.707
FSNT             284.453             282.340             2.113         4.501
FSNTC            342.881             342.661             0.220         0.405
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            135.876             132.708             3.168         6.448
LWCF              28.273              29.387            -1.114         3.198
PRECT              4.619               4.592             0.028         0.534
PRECT_LAND         3.221               3.282            -0.061         0.353
PRECT_OCEAN        5.081               5.021             0.060         0.583
PREH2O            49.966              45.494             4.472         4.694
PREH2O_OCEAN      52.451              47.720             4.730         4.943
PSI_200           -2.918              -2.873            -0.045         0.147
PS               997.980             997.719             0.261         0.356
PSL             1014.084            1013.860             0.224         0.310
QFLX               4.685               4.585             0.100         0.167
SHFLX             17.573              17.596            -0.023         2.128
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.249              28.026             1.222         1.233
STRESS_MAG         0.070               0.073            -0.003         0.006
SWCF             -58.428             -60.321             1.893         4.548
T_850            292.138             290.668             1.470         1.489
TGCLDLWP          50.088              51.480            -1.393         4.735
TGCLDIWP          15.512              15.953            -0.441         2.914
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.134               0.135            -0.001         0.011
AODDUST            0.007               0.006             0.000         0.001
TREFHT           300.980             299.607             1.373         1.394
TS               301.825             300.480             1.345         1.375
TS_LAND          299.935             298.220             1.715         1.738
U_200              0.279               0.457            -0.179         1.560
VT_850             3.223               3.457            -0.233         0.696
Z3_500            59.340              58.986             0.355         0.355
