DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            51.644              51.395             0.248         2.736
RESSURF           21.921              21.877             0.044         3.328
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.554              -0.548            -0.006         0.519
CLDHGH            43.268              43.371            -0.104         2.929
CLDLOW            30.789              31.276            -0.487         2.037
CLDMED            18.160              18.974            -0.814         2.604
CLDTOT            59.098              59.673            -0.574         2.554
EKE_850            9.986               9.993            -0.007         1.296
EP            -1.363e-01          -1.292e-01        -7.092e-03         0.603
FLNS              45.593              48.589            -2.997         3.653
FLNSC             58.545              63.290            -4.745         4.997
FLNT             255.911             255.282             0.630         4.188
FLNTC            286.143             286.265            -0.122         1.550
FSDS             228.644             229.512            -0.868         5.135
FSDSC            294.599             296.593            -1.994         2.071
FSNS             213.348             214.165            -0.817         4.796
FSNSC            275.428             277.263            -1.835         1.908
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       259.973             261.501            -1.527         1.633
FSNT             307.555             306.677             0.878         4.300
FSNTC            365.869             365.711             0.157         0.330
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            128.033             125.870             2.162         6.176
LWCF              30.232              30.983            -0.751         3.137
PRECT              4.578               4.495             0.083         0.556
PRECT_LAND         4.299               4.271             0.028         0.355
PRECT_OCEAN        4.655               4.553             0.102         0.611
PREH2O            50.642              45.902             4.741         5.020
PREH2O_OCEAN      52.539              47.558             4.981         5.240
PSI_200            0.100               0.033             0.067         0.129
PS               996.246             996.147             0.099         0.235
PSL             1012.274            1012.211             0.063         0.188
QFLX               4.441               4.366             0.076         0.167
SHFLX             17.801              17.828            -0.026         3.079
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.729              28.534             1.195         1.212
STRESS_MAG         0.052               0.054            -0.001         0.004
SWCF             -58.314             -59.034             0.721         4.344
T_850            292.898             291.446             1.451         1.468
TGCLDLWP          48.080              47.764             0.317         4.223
TGCLDIWP          17.871              18.218            -0.347         2.761
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.104               0.103             0.001         0.008
AODDUST            0.005               0.005             0.000         0.001
TREFHT           301.626             300.281             1.345         1.369
TS               302.541             301.240             1.301         1.336
TS_LAND          301.397             299.756             1.641         1.672
U_200              5.668               5.675            -0.007         1.216
VT_850             0.197               0.135             0.062         0.468
Z3_500            59.257              58.912             0.345         0.345
