DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.1.4xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            53.046              52.295             0.752         2.907
RESSURF           24.205              24.090             0.115         3.446
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.435              -0.443             0.007         0.468
CLDHGH            42.037              42.326            -0.289         2.859
CLDLOW            32.101              33.034            -0.933         2.068
CLDMED            19.707              20.565            -0.858         2.075
CLDTOT            59.508              60.553            -1.045         2.545
EKE_850           10.072              10.417            -0.345         1.111
EP            -3.328e-01          -3.171e-01        -1.572e-02         0.552
FLNS              44.262              46.990            -2.728         3.360
FLNSC             58.054              62.844            -4.790         5.014
FLNT             254.804             253.902             0.902         3.918
FLNTC            285.233             285.151             0.082         1.412
FSDS             226.638             226.690            -0.052         4.512
FSDSC            297.446             299.628            -2.182         2.232
FSNS             211.523             211.593            -0.070         4.221
FSNSC            278.227             280.247            -2.020         2.070
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       260.907             262.655            -1.748         1.794
FSNT             307.851             306.197             1.654         4.207
FSNTC            370.309             370.173             0.135         0.326
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            124.857             122.530             2.327         6.042
LWCF              30.429              31.249            -0.820         3.089
PRECT              4.691               4.592             0.098         0.495
PRECT_LAND         4.446               4.402             0.044         0.332
PRECT_OCEAN        4.765               4.648             0.117         0.540
PREH2O            51.062              46.074             4.987         5.216
PREH2O_OCEAN      52.714              47.482             5.232         5.441
PSI_200           -1.268              -1.242            -0.026         0.106
PS               997.172             996.852             0.320         0.372
PSL             1013.204            1012.926             0.279         0.334
QFLX               4.358               4.275             0.082         0.163
SHFLX             18.199              17.984             0.215         2.553
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.191              27.960             1.231         1.241
STRESS_MAG         0.058               0.059            -0.001         0.004
SWCF             -62.458             -63.976             1.518         4.232
T_850            292.713             291.178             1.535         1.567
TGCLDLWP          53.962              54.554            -0.592         4.537
TGCLDIWP          18.476              18.729            -0.253         3.236
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.115               0.113             0.002         0.009
AODDUST            0.003               0.003            -0.000         0.001
TREFHT           301.307             299.889             1.418         1.450
TS               302.191             300.809             1.381         1.427
TS_LAND          301.576             299.736             1.840         1.886
U_200              2.419               2.828            -0.409         0.976
VT_850             0.559               0.645            -0.086         0.518
Z3_500            59.304              58.931             0.372         0.372
