DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -0.107              -0.058            -0.049         8.681
RESSURF           -0.110              -0.065            -0.045         9.940
SOLIN            340.348             340.348             0.000         0.000
AAM            1.349e+26           1.358e+26        -8.508e+23      -999.000
CHI_200            0.002              -0.001             0.004         1.173
CLDHGH            38.333              38.434            -0.100         3.329
CLDLOW            41.111              42.424            -1.313         5.132
CLDMED            25.944              26.865            -0.921         3.190
CLDTOT            62.239              63.357            -1.118         3.952
EKE_850           28.045              29.303            -1.259         3.301
EP             4.264e-05           2.801e-05         1.463e-05         0.537
FLNS              54.381              55.704            -1.323         5.206
FLNSC             78.663              81.353            -2.689         6.229
FLNT             241.266             237.307             3.960         6.058
FLNTC            265.669             261.568             4.101         5.881
FSDS             186.554             187.444            -0.890         8.527
FSDSC            246.295             247.248            -0.954         5.000
FSNS             166.912             163.430             3.482        12.134
FSNSC            221.747             217.939             3.809        15.233
FSNSC_ICE         42.883              51.169            -8.286        22.794
FSNSC_LAND       193.396             180.077            13.319        23.882
FSNT             241.159             237.248             3.911        10.657
FSNTC            291.572             287.021             4.551        13.404
ICEAREA           10.458              20.150            -9.692         0.320
LHFLX             93.524              89.152             4.372        10.802
LWCF              24.403              24.261             0.141         3.370
PRECT              3.211               3.055             0.155         0.535
PRECT_LAND         2.491               2.230             0.262         0.520
PRECT_OCEAN        3.626               3.555             0.071         0.547
PREH2O            28.889              25.441             3.448         3.904
PREH2O_OCEAN      32.551              29.700             2.851         4.028
PSI_200           -0.021              -0.021             0.000         0.252
PS               985.719             985.381             0.338        13.308
PSL             1013.170            1011.504             1.665         2.132
QFLX               3.211               3.055             0.155         0.345
SHFLX             19.116              18.639             0.477         8.363
SNOWHLND           8.234              11.148            -2.915        10.882
SST               21.937              20.417             1.521         1.660
STRESS_MAG         0.065               0.065             0.000         0.010
SWCF             -50.413             -49.773            -0.640         7.589
T_850            282.820             280.953             1.868         2.162
TGCLDLWP          42.841              40.985             1.856        11.206
TGCLDIWP          16.861              17.081            -0.220         5.926
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.087               0.103            -0.016         0.073
AODDUST            0.004               0.022            -0.018         0.069
TREFHT           289.641             287.443             2.198         3.169
TS               290.414             288.246             2.168         3.338
TS_LAND          284.369             281.357             3.012         3.565
U_200             15.883              15.953            -0.070         1.909
VT_850             0.183               0.158             0.025         1.148
Z3_500            57.066              56.496             0.570         0.584
