DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             8.329               7.787             0.543        11.843
RESSURF            7.705               7.110             0.595        21.506
SOLIN            350.480             350.480             0.000         0.000
AAM            1.458e+26           1.432e+26         2.621e+24      -999.000
CHI_200           -0.010              -0.009            -0.001         0.834
CLDHGH            38.035              38.451            -0.416         4.241
CLDLOW            43.403              44.116            -0.713         5.620
CLDMED            26.673              27.736            -1.063         3.963
CLDTOT            63.638              64.586            -0.948         4.680
EKE_850           25.446              25.699            -0.252         3.373
EP             7.190e-03           5.982e-03         1.208e-03         0.688
FLNS              53.157              54.537            -1.379         5.777
FLNSC             77.728              80.443            -2.715         6.966
FLNT             238.015             234.617             3.398         6.167
FLNTC            261.601             258.204             3.397         5.435
FSDS             193.196             194.348            -1.152        11.410
FSDSC            255.428             256.877            -1.449         4.435
FSNS             170.945             167.869             3.076        14.557
FSNSC            228.318             225.205             3.114        18.920
FSNSC_ICE         22.214              22.919            -0.704         2.603
FSNSC_LAND       148.696             143.519             5.177        18.545
FSNT             246.345             242.404             3.941        13.723
FSNTC            298.783             294.486             4.297        18.037
ICEAREA           10.669              19.055            -8.386         0.304
LHFLX             93.221              89.409             3.812        13.751
LWCF              23.586              23.587            -0.001         3.926
PRECT              3.188               3.055             0.133         0.640
PRECT_LAND         2.426               2.242             0.183         0.454
PRECT_OCEAN        3.609               3.538             0.071         0.697
PREH2O            27.461              24.387             3.075         3.691
PREH2O_OCEAN      32.118              29.147             2.971         4.047
PSI_200            0.009               0.007             0.002         0.293
PS               985.579             985.278             0.302        13.333
PSL             1013.482            1011.746             1.736         2.537
QFLX               3.195               3.061             0.134         0.428
SHFLX             16.862              16.813             0.049        10.119
SNOWHLND           9.147              11.907            -2.759        10.774
SST               21.921              20.376             1.545         1.702
STRESS_MAG         0.067               0.070            -0.003         0.017
SWCF             -52.438             -52.082            -0.356         9.922
T_850            281.034             279.424             1.610         1.875
TGCLDLWP          40.994              39.370             1.623        12.987
TGCLDIWP          16.423              17.107            -0.684         7.962
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.080               0.089            -0.009         0.050
AODDUST            0.002               0.012            -0.010         0.044
TREFHT           287.341             285.519             1.821         2.869
TS               288.129             286.311             1.819         3.190
TS_LAND          276.451             274.928             1.523         3.042
U_200             16.811              16.498             0.314         2.519
VT_850            -0.788              -0.767            -0.021         1.522
Z3_500            56.793              56.267             0.526         0.552
