DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -10.727              -9.864            -0.863        13.746
RESSURF          -11.707             -10.803            -0.903        22.255
SOLIN            330.417             330.417             0.000         0.000
AAM            1.083e+26           1.147e+26        -6.448e+24      -999.000
CHI_200            0.016               0.008             0.008         1.906
CLDHGH            37.918              37.917             0.001         5.518
CLDLOW            40.062              41.746            -1.684         7.516
CLDMED            24.866              25.842            -0.976         4.799
CLDTOT            61.341              62.662            -1.321         6.176
EKE_850           24.122              25.897            -1.775         3.875
EP             9.121e-03           7.519e-03         1.602e-03         0.961
FLNS              54.186              55.454            -1.267         7.837
FLNSC             78.156              81.068            -2.911         8.158
FLNT             245.024             240.367             4.657         8.647
FLNTC            270.065             265.184             4.881         7.694
FSDS             176.426             176.928            -0.502        13.253
FSDSC            236.171             236.704            -0.533         7.914
FSNS             160.190             156.450             3.740        16.928
FSNSC            215.051             210.761             4.291        20.891
FSNSC_ICE          0.640              40.786           -40.147         0.190
FSNSC_LAND       238.245             217.582            20.664        31.643
FSNT             234.297             230.503             3.794        15.517
FSNTC            285.158             280.455             4.703        18.867
ICEAREA            9.756              20.881           -11.125         0.446
LHFLX             96.555              91.513             5.042        16.648
LWCF              25.041              24.817             0.225         5.516
PRECT              3.311               3.133             0.178         0.918
PRECT_LAND         2.626               2.340             0.286         0.984
PRECT_OCEAN        3.683               3.609             0.074         0.896
PREH2O            30.831              26.941             3.890         4.784
PREH2O_OCEAN      32.966              30.180             2.787         4.426
PSI_200           -0.054              -0.051            -0.003         0.492
PS               985.910             985.528             0.382        13.290
PSL             1012.947            1011.330             1.617         2.562
QFLX               3.320               3.141             0.179         0.518
SHFLX             21.156              20.287             0.869        12.275
SNOWHLND           7.206              10.198            -2.992        11.520
SST               21.630              20.107             1.523         1.693
STRESS_MAG         0.076               0.076             0.000         0.014
SWCF             -50.861             -49.952            -0.909        11.620
T_850            284.755             282.541             2.214         2.956
TGCLDLWP          47.111              45.205             1.906        14.676
TGCLDIWP          17.669              17.498             0.171         8.929
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.101               0.124            -0.023         0.113
AODDUST            0.006               0.031            -0.025         0.106
TREFHT           291.768             289.262             2.506         3.985
TS               292.496             290.040             2.456         4.210
TS_LAND          291.639             287.385             4.254         4.560
U_200             13.366              14.003            -0.637         2.723
VT_850             1.196               1.121             0.076         1.847
Z3_500            57.409              56.783             0.626         0.662
