DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.532               0.599            -0.067        13.605
RESSURF           -1.913              -1.179            -0.734        14.405
SOLIN            338.285             338.285             0.000         0.000
AAM            1.443e+26           1.472e+26        -2.853e+24      -999.000
CHI_200           -0.003              -0.004             0.002         0.816
CLDHGH            39.237              39.222             0.014         4.248
CLDLOW            39.608              41.040            -1.432         5.962
CLDMED            26.018              26.942            -0.924         4.085
CLDTOT            61.845              63.016            -1.171         4.771
EKE_850           25.549              26.291            -0.741         3.340
EP             1.823e-02           1.338e-02         4.850e-03         0.690
FLNS              55.842              56.649            -0.807         6.779
FLNSC             79.654              81.816            -2.163         7.765
FLNT             240.875             236.466             4.409         7.632
FLNTC            265.693             261.367             4.326         6.844
FSDS             188.477             189.128            -0.650        11.620
FSDSC            245.444             245.993            -0.549         6.205
FSNS             168.190             163.946             4.244        18.147
FSNSC            220.113             215.447             4.666        22.116
FSNSC_ICE         33.554              37.993            -4.439        10.667
FSNSC_LAND       212.592             193.178            19.413        36.316
FSNT             241.407             237.065             4.342        16.159
FSNTC            289.157             284.154             5.003        19.897
ICEAREA           11.800              19.482            -7.682         0.354
LHFLX             93.759              88.854             4.905        12.161
LWCF              24.818              24.901            -0.083         4.550
PRECT              3.199               3.030             0.169         0.681
PRECT_LAND         2.442               2.171             0.272         0.611
PRECT_OCEAN        3.623               3.531             0.093         0.670
PREH2O            28.589              25.268             3.321         3.925
PREH2O_OCEAN      32.517              29.545             2.972         4.098
PSI_200           -0.013              -0.015             0.002         0.282
PS               985.690             985.364             0.326        13.539
PSL             1013.130            1011.491             1.639         2.307
QFLX               3.217               3.043             0.174         0.384
SHFLX             20.502              19.621             0.881        11.760
SNOWHLND           8.999              12.139            -3.140        11.132
SST               21.940              20.402             1.538         1.714
STRESS_MAG         0.063               0.064            -0.001         0.013
SWCF             -47.750             -47.088            -0.661         9.424
T_850            282.839             281.008             1.831         2.201
TGCLDLWP          40.166              38.302             1.864        12.142
TGCLDIWP          17.035              17.512            -0.478         6.921
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.084               0.102            -0.019         0.088
AODDUST            0.005               0.026            -0.021         0.084
TREFHT           289.856             287.529             2.327         3.683
TS               290.666             288.368             2.298         3.896
TS_LAND          284.818             281.347             3.471         4.621
U_200             17.044              17.209            -0.165         2.233
VT_850             0.120               0.108             0.012         1.465
Z3_500            57.032              56.466             0.566         0.587
